Ligand,Conformer,LUMO+1,LUMO,HOMO,HOMO-1,HOMO-2,HOMO-3,dipole(debye),trace,anisotropy
101_cs,CONF_0530,-4.496,-5.051,-7.631,-8.346,-8.482,-8.676,1.5361,-190.353249,30.869155
101_cs,CONF_0541,-4.509,-5.081,-7.676,-8.32,-8.5,-8.712,1.6241,-189.835872,32.293707
101_cs,CONF_0562,-4.403,-5.15,-7.662,-8.301,-8.497,-8.695,1.652,-189.842941,30.946775
101_cs,CONF_0579,-4.289,-5.165,-7.642,-8.286,-8.509,-8.632,2.1917,-189.621132,29.355514
101_cs,CONF_0726,-4.469,-4.981,-7.613,-8.261,-8.481,-8.68,1.3843,-190.065028,32.601986
101_cs,CONF_0740,-4.344,-5.195,-7.65,-8.301,-8.512,-8.648,1.9451,-189.743974,30.034465
101_cs,CONF_0744,-4.286,-5.169,-7.642,-8.288,-8.509,-8.632,2.1851,-189.629516,29.28923
101_cs,CONF_0956,-4.266,-5.222,-7.636,-8.244,-8.506,-8.654,1.6314,-189.46474,29.879012
101_cs,CONF_1007,-4.431,-5.074,-7.643,-8.362,-8.479,-8.623,1.4533,-190.291556,30.034864
102_cs,CONF_0002,-4.506,-4.963,-7.658,-8.329,-8.546,-8.69,1.4546,-189.863498,33.080667
102_cs,CONF_0004,-4.505,-4.908,-7.62,-8.341,-8.525,-8.661,1.4698,-190.326966,32.561082
102_cs,CONF_0005,-4.436,-5.041,-7.653,-8.356,-8.542,-8.697,1.5126,-189.678497,30.923858
102_cs,CONF_0008,-4.505,-4.956,-7.674,-8.378,-8.535,-8.699,1.3813,-189.881225,31.48177
102_cs,CONF_0013,-4.524,-4.92,-7.622,-8.313,-8.531,-8.717,1.3251,-190.188251,34.021658
102_cs,CONF_0014,-4.495,-5.0,-7.637,-8.318,-8.537,-8.724,1.4123,-189.655404,33.652656
102_cs,CONF_0017,-4.524,-4.92,-7.622,-8.313,-8.53,-8.717,1.3225,-190.187,34.028787
102_cs,CONF_0022,-4.51,-4.852,-7.601,-8.3,-8.503,-8.711,1.2099,-190.578514,32.845829
102_cs,CONF_0027,-4.482,-4.93,-7.615,-8.311,-8.509,-8.722,1.3428,-189.918218,32.762056
102_cs,CONF_0028,-4.471,-4.944,-7.648,-8.347,-8.539,-8.645,1.3218,-190.136856,31.71061
102_cs,CONF_0030,-4.51,-4.853,-7.601,-8.3,-8.504,-8.711,1.2111,-190.584372,32.850027
102_cs,CONF_0033,-4.472,-4.946,-7.648,-8.347,-8.54,-8.646,1.3185,-190.139607,31.745224
102_cs,CONF_0035,-4.484,-4.943,-7.605,-8.323,-8.51,-8.671,1.6043,-189.674962,32.972183
102_cs,CONF_0036,-4.411,-5.066,-7.665,-8.332,-8.544,-8.668,1.3825,-189.708337,31.873895
102_cs,CONF_0039,-4.494,-5.014,-7.642,-8.323,-8.529,-8.701,1.4618,-189.266569,33.718571
102_cs,CONF_0040,-4.449,-5.074,-7.644,-8.35,-8.546,-8.692,1.5376,-189.674857,30.860026
102_cs,CONF_0068,-4.447,-5.069,-7.601,-8.332,-8.437,-8.631,1.6891,-190.542577,31.557809
102_cs,CONF_0078,-4.461,-5.064,-7.672,-8.312,-8.451,-8.653,1.7251,-189.949022,32.300369
102_cs,CONF_0098,-4.373,-5.088,-7.659,-8.24,-8.462,-8.682,1.6776,-189.635975,31.675386
102_cs,CONF_0112,-4.472,-5.084,-7.668,-8.366,-8.45,-8.682,1.5813,-190.135052,30.853625
102_cs,CONF_0230,-4.511,-5.063,-7.686,-8.336,-8.503,-8.713,1.5299,-190.137987,33.309471
102_cs,CONF_0261,-4.493,-5.044,-7.629,-8.365,-8.479,-8.676,1.4976,-190.669687,32.074107
102_cs,CONF_0269,-4.429,-5.044,-7.657,-8.284,-8.503,-8.687,1.7035,-189.994811,31.741183
102_cs,CONF_0282,-4.444,-4.984,-7.607,-8.262,-8.45,-8.678,1.5497,-189.831851,32.760596
102_cs,CONF_0286,-4.48,-5.117,-7.65,-8.364,-8.518,-8.699,1.4267,-190.161738,30.879597
102_cs,CONF_0290,-4.458,-4.995,-7.616,-8.25,-8.46,-8.69,1.4531,-189.837714,33.433069
102_cs,CONF_0300,-4.439,-5.067,-7.642,-8.26,-8.45,-8.71,1.5353,-189.367292,32.831805
102_cs,CONF_0409,-4.314,-5.186,-7.618,-8.243,-8.486,-8.688,1.7019,-189.379292,30.601171
102_cs,CONF_0519,-4.497,-5.048,-7.631,-8.344,-8.481,-8.676,1.5348,-190.326163,30.883985
102_cs,CONF_0532,-4.508,-5.076,-7.674,-8.32,-8.496,-8.709,1.6373,-189.844213,32.242048
102_cs,CONF_0556,-4.29,-5.169,-7.642,-8.287,-8.51,-8.632,2.1895,-189.625035,29.339286
102_cs,CONF_0605,-4.405,-5.15,-7.663,-8.302,-8.497,-8.696,1.6499,-189.83864,30.950622
102_cs,CONF_0626,-4.432,-5.071,-7.645,-8.362,-8.479,-8.623,1.4471,-190.268232,29.970694
102_cs,CONF_0711,-4.47,-4.979,-7.614,-8.261,-8.48,-8.681,1.3883,-190.064707,32.595592
102_cs,CONF_0713,-4.333,-5.208,-7.643,-8.291,-8.505,-8.645,1.952,-189.705433,29.997198
102_cs,CONF_0934,-4.474,-4.975,-7.612,-8.263,-8.483,-8.676,1.3795,-190.079318,32.593627
102_cs,CONF_0939,-4.267,-5.22,-7.637,-8.243,-8.506,-8.655,1.629,-189.486026,29.901767
103_cs,CONF_0007,-4.608,-4.974,-7.607,-8.323,-8.553,-8.694,1.5295,-185.529485,31.637546
103_cs,CONF_0032,-4.544,-4.989,-7.581,-8.324,-8.439,-8.658,1.5703,-185.973863,29.945011
103_cs,CONF_0036,-4.621,-4.985,-7.629,-8.318,-8.544,-8.69,1.336,-185.692826,31.206132
103_cs,CONF_0038,-4.57,-5.064,-7.622,-8.331,-8.505,-8.712,1.7205,-185.92839,30.781978
103_cs,CONF_0059,-4.465,-5.094,-7.598,-8.233,-8.439,-8.604,1.998,-185.164278,29.971036
103_cs,CONF_0063,-4.494,-5.033,-7.609,-8.304,-8.443,-8.626,1.4029,-185.715793,27.762515
103_cs,CONF_0067,-4.531,-5.12,-7.587,-8.359,-8.434,-8.63,1.7013,-185.692842,29.329839
103_cs,CONF_0068,-4.533,-5.104,-7.601,-8.311,-8.446,-8.607,1.7302,-185.490362,29.741368
103_cs,CONF_0077,-4.584,-4.996,-7.608,-8.332,-8.45,-8.643,1.524,-186.26348,28.583914
103_cs,CONF_0081,-4.576,-5.084,-7.638,-8.356,-8.431,-8.661,1.6538,-185.805685,29.729266
103_cs,CONF_0103,-4.535,-5.118,-7.621,-8.306,-8.424,-8.656,1.6053,-185.063302,30.824485
103_cs,CONF_0108,-4.535,-5.118,-7.621,-8.306,-8.423,-8.656,1.6088,-185.057564,30.812555
103_cs,CONF_0122,-4.557,-5.029,-7.563,-8.321,-8.437,-8.607,1.6242,-185.994861,29.519329
103_cs,CONF_0163,-4.506,-5.091,-7.594,-8.286,-8.475,-8.661,1.5938,-185.19472,29.978783
103_cs,CONF_0164,-4.564,-5.071,-7.641,-8.335,-8.448,-8.649,1.6605,-185.890982,29.526287
103_cs,CONF_0173,-4.623,-4.999,-7.628,-8.313,-8.521,-8.709,1.2012,-185.480866,32.333924
103_cs,CONF_0280,-4.499,-5.089,-7.621,-8.264,-8.476,-8.68,1.5983,-185.499507,29.895541
103_cs,CONF_0376,-4.479,-5.185,-7.597,-8.287,-8.483,-8.645,2.0827,-185.70096,30.742429
103_cs,CONF_0421,-4.564,-5.067,-7.616,-8.286,-8.454,-8.703,1.4534,-185.346012,31.428286
103_cs,CONF_0423,-4.537,-5.076,-7.626,-8.273,-8.463,-8.704,1.4468,-185.245523,30.886357
103_cs,CONF_0491,-4.436,-5.112,-7.561,-8.255,-8.46,-8.611,2.1993,-185.699122,29.786333
103_cs,CONF_0594,-4.56,-5.08,-7.653,-8.323,-8.446,-8.664,1.6085,-185.561703,28.368143
103_cs,CONF_0640,-4.395,-5.234,-7.554,-8.244,-8.44,-8.609,2.3163,-185.949214,28.956299
103_cs,CONF_0740,-4.509,-5.21,-7.677,-8.337,-8.39,-8.699,1.6179,-185.378199,27.227444
103_cs,CONF_0765,-4.567,-5.154,-7.671,-8.361,-8.457,-8.714,1.7741,-186.00316,28.320425
103_cs,CONF_0812,-4.469,-5.206,-7.617,-8.284,-8.438,-8.701,1.6598,-185.47258,29.524312
103_cs,CONF_0813,-4.544,-5.129,-7.59,-8.35,-8.425,-8.626,1.8822,-185.93087,27.752402
103_cs,CONF_0846,-4.544,-5.129,-7.59,-8.349,-8.425,-8.626,1.8816,-185.93023,27.76172
103_cs,CONF_0879,-4.503,-5.089,-7.621,-8.266,-8.478,-8.682,1.5886,-185.509904,29.929818
103_cs,CONF_0986,-4.479,-5.184,-7.598,-8.288,-8.482,-8.645,2.0759,-185.697331,30.745614
103_cs,CONF_1024,-4.549,-5.101,-7.601,-8.309,-8.432,-8.611,1.9516,-185.757236,28.775291
103_cs,CONF_1078,-4.564,-5.092,-7.621,-8.29,-8.446,-8.673,1.3693,-185.180188,30.2027
103_cs,CONF_1255,-4.453,-5.209,-7.648,-8.266,-8.429,-8.646,1.7654,-185.591754,28.995713
104_cs,CONF_0036,-4.619,-4.985,-7.629,-8.317,-8.544,-8.689,1.3359,-185.698825,31.208147
104_cs,CONF_0037,-4.57,-5.064,-7.623,-8.331,-8.503,-8.709,1.7313,-185.911283,30.770527
104_cs,CONF_0060,-4.464,-5.095,-7.599,-8.232,-8.44,-8.603,2.0002,-185.164758,29.944385
104_cs,CONF_0063,-4.491,-5.034,-7.609,-8.303,-8.444,-8.628,1.4064,-185.73082,27.723258
104_cs,CONF_0069,-4.532,-5.105,-7.602,-8.309,-8.446,-8.608,1.7285,-185.487886,29.721929
104_cs,CONF_0070,-4.533,-5.121,-7.588,-8.362,-8.435,-8.63,1.698,-185.682175,29.279666
104_cs,CONF_0074,-4.544,-5.115,-7.663,-8.338,-8.468,-8.661,1.6431,-185.102944,28.023192
104_cs,CONF_0078,-4.583,-4.995,-7.608,-8.332,-8.45,-8.642,1.5225,-186.284422,28.608209
104_cs,CONF_0083,-4.577,-5.083,-7.638,-8.356,-8.43,-8.662,1.6547,-185.793855,29.690525
104_cs,CONF_0103,-4.536,-5.118,-7.621,-8.305,-8.424,-8.654,1.6124,-185.048267,30.79989
104_cs,CONF_0115,-4.534,-5.118,-7.621,-8.305,-8.425,-8.655,1.6062,-185.049752,30.801437
104_cs,CONF_0122,-4.556,-5.028,-7.563,-8.32,-8.437,-8.606,1.625,-185.999415,29.496902
104_cs,CONF_0158,-4.502,-5.089,-7.593,-8.284,-8.474,-8.66,1.6072,-185.207436,29.971729
104_cs,CONF_0163,-4.564,-5.071,-7.641,-8.335,-8.447,-8.65,1.6523,-185.884038,29.509632
104_cs,CONF_0275,-4.499,-5.088,-7.621,-8.264,-8.475,-8.679,1.598,-185.488163,29.899961
104_cs,CONF_0336,-4.571,-5.065,-7.623,-8.331,-8.504,-8.711,1.73,-185.933401,30.78578
104_cs,CONF_0370,-4.48,-5.184,-7.597,-8.286,-8.482,-8.645,2.0808,-185.690935,30.753654
104_cs,CONF_0379,-4.561,-5.068,-7.617,-8.285,-8.454,-8.709,1.4402,-185.331962,31.423635
104_cs,CONF_0419,-4.534,-5.078,-7.626,-8.273,-8.462,-8.704,1.4502,-185.231654,30.893706
104_cs,CONF_0502,-4.438,-5.111,-7.561,-8.255,-8.461,-8.612,2.2001,-185.691633,29.797959
104_cs,CONF_0584,-4.558,-5.081,-7.652,-8.322,-8.445,-8.666,1.6124,-185.560802,28.435249
104_cs,CONF_0687,-4.394,-5.236,-7.555,-8.244,-8.44,-8.609,2.3105,-185.943638,28.936837
104_cs,CONF_0722,-4.511,-5.208,-7.678,-8.342,-8.39,-8.696,1.6247,-185.369041,27.172594
104_cs,CONF_0755,-4.567,-5.154,-7.671,-8.36,-8.453,-8.714,1.7792,-185.993412,28.388227
104_cs,CONF_0780,-4.466,-5.204,-7.616,-8.282,-8.436,-8.699,1.6737,-185.468899,29.500322
104_cs,CONF_0812,-4.533,-5.121,-7.589,-8.361,-8.434,-8.63,1.693,-185.677268,29.280371
104_cs,CONF_0828,-4.547,-5.132,-7.59,-8.35,-8.425,-8.627,1.8708,-185.927604,27.760419
104_cs,CONF_0858,-4.499,-5.089,-7.621,-8.265,-8.475,-8.68,1.5949,-185.484225,29.903252
104_cs,CONF_0967,-4.481,-5.184,-7.598,-8.287,-8.483,-8.645,2.0789,-185.690065,30.754862
104_cs,CONF_1032,-4.55,-5.099,-7.602,-8.31,-8.433,-8.611,1.9519,-185.743427,28.770138
104_cs,CONF_1043,-4.616,-5.108,-7.657,-8.343,-8.516,-8.728,1.6714,-185.608377,31.385028
104_cs,CONF_1200,-4.537,-5.076,-7.626,-8.275,-8.463,-8.703,1.452,-185.239324,30.912129
104_cs,CONF_1230,-4.451,-5.208,-7.648,-8.264,-8.429,-8.647,1.7675,-185.593217,28.972413
105_cs,CONF_0001,-4.726,-5.279,-7.724,-8.089,-8.278,-8.373,4.1089,-247.703514,48.441428
105_cs,CONF_0004,-4.496,-5.305,-7.68,-8.13,-8.2,-8.397,3.7979,-247.41709,44.068422
105_cs,CONF_0005,-4.481,-5.363,-7.585,-8.1,-8.249,-8.423,3.5727,-247.907172,45.705442
105_cs,CONF_0007,-4.499,-5.307,-7.679,-8.13,-8.201,-8.399,3.7846,-247.435702,43.952844
105_cs,CONF_0010,-4.726,-5.279,-7.724,-8.089,-8.278,-8.374,4.109,-247.70717,48.471009
105_cs,CONF_0012,-4.481,-5.364,-7.584,-8.101,-8.249,-8.423,3.5769,-247.892618,45.718084
105_cs,CONF_0013,-4.482,-5.362,-7.586,-8.101,-8.249,-8.423,3.5699,-247.906246,45.709319
105_cs,CONF_0014,-4.727,-5.278,-7.722,-8.088,-8.278,-8.373,4.108,-247.718234,48.379407
106_cs,CONF_0003,-4.725,-5.279,-7.724,-8.088,-8.278,-8.373,4.1202,-247.68632,48.39407
106_cs,CONF_0004,-4.499,-5.305,-7.68,-8.13,-8.201,-8.397,3.7968,-247.410244,44.057892
106_cs,CONF_0005,-4.481,-5.363,-7.585,-8.101,-8.249,-8.423,3.5748,-247.899604,45.714393
106_cs,CONF_0007,-4.498,-5.306,-7.68,-8.13,-8.202,-8.397,3.7862,-247.421534,43.907223
106_cs,CONF_0010,-4.728,-5.279,-7.722,-8.088,-8.278,-8.374,4.1029,-247.715638,48.419292
106_cs,CONF_0011,-4.482,-5.363,-7.585,-8.101,-8.249,-8.424,3.5717,-247.895744,45.671463
106_cs,CONF_0012,-4.481,-5.364,-7.584,-8.101,-8.249,-8.425,3.5746,-247.892453,45.675284
106_cs,CONF_0013,-4.726,-5.279,-7.722,-8.089,-8.277,-8.371,4.1143,-247.702262,48.404779
107_cs,CONF_0003,-4.705,-5.052,-7.803,-8.46,-8.677,-8.846,2.1364,-156.259152,31.88078
107_cs,CONF_0004,-4.693,-5.074,-7.82,-8.46,-8.666,-8.853,2.2208,-156.484002,31.228524
107_cs,CONF_0007,-4.69,-5.079,-7.813,-8.438,-8.663,-8.838,2.3141,-156.222657,31.693291
107_cs,CONF_0009,-4.685,-5.07,-7.794,-8.455,-8.66,-8.845,2.3334,-156.185876,31.82927
107_cs,CONF_0010,-4.681,-5.093,-7.823,-8.447,-8.634,-8.847,1.9937,-156.280565,31.622715
107_cs,CONF_0015,-4.686,-5.11,-7.819,-8.442,-8.68,-8.791,2.3059,-156.185901,31.653842
107_cs,CONF_0020,-4.686,-5.11,-7.819,-8.442,-8.68,-8.792,2.3029,-156.188367,31.656725
107_cs,CONF_0024,-4.638,-5.086,-7.784,-8.428,-8.627,-8.838,2.3379,-156.296835,31.574045
107_cs,CONF_0026,-4.674,-5.117,-7.838,-8.431,-8.643,-8.811,2.2403,-156.219994,31.413758
107_cs,CONF_0027,-4.674,-5.103,-7.793,-8.425,-8.672,-8.806,2.1414,-155.972071,31.571706
107_cs,CONF_0030,-4.647,-5.085,-7.772,-8.427,-8.646,-8.821,2.4513,-156.188808,31.351915
107_cs,CONF_0032,-4.633,-5.101,-7.798,-8.429,-8.628,-8.845,2.4487,-156.439684,30.976194
107_cs,CONF_0033,-4.681,-5.094,-7.823,-8.446,-8.634,-8.846,1.9985,-156.283125,31.619248
107_cs,CONF_0034,-4.676,-5.091,-7.793,-8.42,-8.664,-8.803,2.129,-155.953337,31.504731
107_cs,CONF_0035,-4.638,-5.13,-7.791,-8.429,-8.622,-8.842,2.408,-156.261062,31.446075
107_cs,CONF_0044,-4.661,-5.123,-7.801,-8.423,-8.664,-8.806,2.3285,-156.069067,31.46102
