Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
101_cs,CONF_0422,-0.06779,-0.33853,0.02971,0.14197,-0.34989,0.43739,0.30677,0.16735,0.15664
101_cs,CONF_0519,0.00181,-0.34032,-0.02908,0.14509,-0.35766,0.39633,0.28422,0.17389,0.18806
101_cs,CONF_0530,0.06003,-0.41327,0.06266,0.14100,-0.32941,0.33371,0.27140,0.18116,0.15890
101_cs,CONF_0541,0.04822,-0.38236,0.01033,0.12693,-0.34887,0.38634,0.24691,0.18524,0.17075
101_cs,CONF_0562,0.11178,-0.50944,0.09251,0.15623,-0.35676,0.34325,0.29494,0.15103,0.16421
101_cs,CONF_0579,-0.02095,-0.44589,0.07986,0.16589,-0.32463,0.30574,0.31642,0.16922,0.15473
101_cs,CONF_0726,-0.08372,-0.36252,0.02577,0.13612,-0.33841,0.34634,0.31270,0.18148,0.17176
101_cs,CONF_0740,-0.04442,-0.42040,0.07035,0.15684,-0.33346,0.34537,0.32930,0.16279,0.16226
101_cs,CONF_0744,-0.01401,-0.45752,0.08471,0.16849,-0.33244,0.30827,0.29802,0.17010,0.15595
101_cs,CONF_0956,-0.03523,-0.39209,0.03075,0.15659,-0.37393,0.43118,0.31267,0.17037,0.16158
101_cs,CONF_1007,-0.03444,-0.34175,-0.00990,0.14429,-0.34968,0.27830,0.38286,0.19431,0.17451
102_cs,CONF_0002,0.04570,-0.37542,0.00981,0.13283,-0.34503,0.41190,0.43035,0.16211,0.17272
102_cs,CONF_0004,0.01232,-0.36008,0.00180,0.14168,-0.33409,0.40470,0.42491,0.16155,0.16078
102_cs,CONF_0005,0.05762,-0.41005,0.03379,0.14200,-0.26893,0.41751,0.36848,0.15196,0.16598
102_cs,CONF_0008,0.06460,-0.39862,0.01750,0.14368,-0.32063,0.42170,0.38731,0.15372,0.16665
102_cs,CONF_0013,-0.00120,-0.32242,-0.06297,0.13090,-0.35842,0.39066,0.40412,0.15858,0.18331
102_cs,CONF_0014,0.06152,-0.39434,0.04581,0.12887,-0.35547,0.40698,0.41848,0.15709,0.15908
102_cs,CONF_0017,-0.00179,-0.32193,-0.06286,0.13090,-0.35851,0.39047,0.40394,0.15854,0.18325
102_cs,CONF_0022,-0.05819,-0.26809,-0.05811,0.13639,-0.36124,0.40846,0.38669,0.17571,0.15938
102_cs,CONF_0027,0.03845,-0.34111,0.01080,0.13524,-0.40059,0.42545,0.39477,0.15648,0.16303
102_cs,CONF_0028,-0.05097,-0.34163,0.03617,0.14016,-0.33536,0.43267,0.39161,0.18687,0.15597
102_cs,CONF_0030,-0.05922,-0.26766,-0.05784,0.13613,-0.36207,0.40680,0.38749,0.17630,0.15955
102_cs,CONF_0033,0.05158,-0.33377,-0.07889,0.13983,-0.34143,0.38230,0.44282,0.15452,0.19141
102_cs,CONF_0035,0.03655,-0.37625,0.01912,0.13629,-0.33054,0.42213,0.36565,0.15900,0.16082
102_cs,CONF_0036,0.03961,-0.37997,0.01411,0.13987,-0.38314,0.40639,0.44446,0.15920,0.17285
102_cs,CONF_0039,0.04388,-0.40293,0.02932,0.12917,-0.31070,0.41797,0.35845,0.15759,0.16183
102_cs,CONF_0040,0.03879,-0.40022,0.03043,0.13499,-0.30779,0.40464,0.37974,0.15994,0.16785
102_cs,CONF_0068,0.03352,-0.39310,0.04019,0.14433,-0.39583,0.39242,0.27840,0.18066,0.16868
102_cs,CONF_0078,0.03498,-0.37785,0.01611,0.13313,-0.42822,0.41443,0.28316,0.18273,0.17951
102_cs,CONF_0098,0.08099,-0.40442,-0.04764,0.14154,-0.39540,0.32513,0.41219,0.16533,0.17956
102_cs,CONF_0112,0.01016,-0.41634,0.10681,0.14209,-0.43273,0.39004,0.29873,0.18548,0.15802
102_cs,CONF_0230,-0.06063,-0.32396,-0.00762,0.13049,-0.38928,0.41932,0.28396,0.19195,0.17196
102_cs,CONF_0261,-0.06751,-0.32978,-0.00615,0.14122,-0.35569,0.38632,0.28255,0.19125,0.16105
102_cs,CONF_0269,-0.06190,-0.42641,0.09926,0.14668,-0.33298,0.35380,0.33399,0.18093,0.16654
102_cs,CONF_0282,-0.00253,-0.37495,0.06172,0.13196,-0.45024,0.41067,0.30532,0.17755,0.16922
102_cs,CONF_0286,0.05588,-0.41506,0.03589,0.14050,-0.30241,0.28265,0.43491,0.15550,0.17330
102_cs,CONF_0290,-0.01484,-0.39104,0.05021,0.13258,-0.39180,0.36837,0.31060,0.17569,0.17077
102_cs,CONF_0300,0.02649,-0.42630,0.10124,0.12750,-0.39537,0.41991,0.31678,0.17541,0.15358
102_cs,CONF_0409,-0.06195,-0.34538,0.01362,0.14254,-0.34653,0.43449,0.31727,0.16844,0.15758
102_cs,CONF_0519,0.05863,-0.41346,0.05890,0.14018,-0.33000,0.34758,0.26354,0.18160,0.15745
102_cs,CONF_0532,0.04498,-0.37467,-0.00290,0.12764,-0.36347,0.39368,0.25361,0.18529,0.17118
102_cs,CONF_0556,-0.02269,-0.44986,0.07806,0.16979,-0.34335,0.30510,0.31807,0.17067,0.15907
102_cs,CONF_0605,0.10321,-0.50852,0.08717,0.15864,-0.34881,0.30241,0.34824,0.16422,0.15539
102_cs,CONF_0626,-0.02043,-0.35475,0.01674,0.14461,-0.36428,0.28669,0.39705,0.19127,0.17045
102_cs,CONF_0711,-0.07223,-0.37092,0.03366,0.13724,-0.34902,0.34074,0.31178,0.18004,0.17379
102_cs,CONF_0713,-0.06629,-0.38216,0.06715,0.15337,-0.34394,0.35875,0.33147,0.16206,0.16075
102_cs,CONF_0934,0.02837,-0.35712,-0.08246,0.13556,-0.34567,0.32031,0.32662,0.17055,0.18205
102_cs,CONF_0939,-0.02912,-0.39273,0.03895,0.15617,-0.37667,0.42346,0.30311,0.17100,0.16289
