Ligand,Conformer,atom_1_ISOTROPIC,atom_2_ISOTROPIC,atom_3_ISOTROPIC,atom_5_ISOTROPIC,atom_6_ISOTROPIC,atom_7_ISOTROPIC,atom_1_ANISOTROPIC,atom_2_ANISOTROPIC,atom_3_ANISOTROPIC,atom_5_ANISOTROPIC,atom_6_ANISOTROPIC,atom_7_ANISOTROPIC,atom_1_dD/dB-CONTRIBUTION,atom_2_dD/dB-CONTRIBUTION,atom_3_dD/dB-CONTRIBUTION,atom_5_dD/dB-CONTRIBUTION,atom_6_dD/dB-CONTRIBUTION,atom_7_dD/dB-CONTRIBUTION
S-35-tBu-C2-TUNEPHOS_1,CONF_0003,107.427852,-37.448472,347.150904,157.190591,152.068414,161.095205,67.283952,220.529249,98.432403,37.171462,14.209262,32.012602,-188.319316,-382.179606,-673.495522,-107.770195,-114.103936,-86.402900
S-35-tBu-C2-TUNEPHOS_1,CONF_0047,108.765191,-38.462069,347.490352,153.809474,152.053577,157.759929,64.970561,226.102803,99.931643,32.332941,14.032653,36.597214,-187.874358,-382.751418,-672.849378,-116.822148,-113.811105,-107.098213
S-35-tBu-C2-TUNEPHOS_1,CONF_0053,108.629701,-38.953151,348.593601,161.016243,152.036651,153.912866,64.763335,227.490581,98.511883,32.207859,14.071779,32.123187,-188.200062,-383.307035,-671.957697,-86.112951,-113.826358,-116.692031
S-35-tBu-C2-TUNEPHOS_1,CONF_0066,108.167033,-40.757017,347.996677,158.577729,152.123320,157.831979,66.255657,223.901209,96.183442,39.439079,13.214704,40.136524,-187.750558,-385.510086,-672.957491,-96.412974,-108.528255,-90.792548
S-35-tBu-C2-TUNEPHOS_1,CONF_0087,108.256513,-40.807093,347.984225,161.009762,152.047540,154.466645,66.129035,223.966064,96.226352,32.008531,14.276893,31.916501,-187.662653,-385.552264,-672.964375,-86.163843,-113.883842,-116.277498
S-35-tBu-C2-TUNEPHOS_1,CONF_0094,105.243261,-35.230552,346.451716,155.359075,152.144440,156.297353,66.824350,228.988627,97.898136,35.593592,15.371839,38.629878,-190.454261,-382.543405,-675.929788,-114.331208,-110.491425,-103.937177
S-35-tBu-C2-TUNEPHOS_1,CONF_0104,105.328569,-37.545395,346.118571,161.427196,152.149379,154.733239,66.961347,233.155509,99.902226,31.451624,15.115378,35.031215,-191.222666,-385.116989,-676.367078,-82.377846,-110.594598,-114.482224
S-35-tBu-C2-TUNEPHOS_1,CONF_0111,105.353384,-37.795883,347.594370,155.037952,152.277908,159.407284,65.990137,233.578798,100.587770,42.409603,11.939109,36.131592,-190.939174,-385.425711,-675.139950,-93.003479,-110.943084,-95.309817
S-35-tBu-C2-TUNEPHOS_1,CONF_0124,105.873735,-47.319059,350.666647,154.928363,152.316287,159.345842,60.197512,250.169138,98.665457,42.140077,11.506464,36.320009,-192.231925,-395.091780,-672.710715,-94.785084,-111.948648,-95.481830
S-35-tBu-C2-TUNEPHOS_1,CONF_0138,105.277339,-36.776879,346.115994,161.659905,152.140443,155.519256,67.535569,231.486563,99.127093,30.677120,15.400558,37.965641,-191.367460,-384.240085,-676.195061,-82.648820,-110.465073,-114.537513
