Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
160_cs,CONF_0136,-0.28654,-0.2253,-0.26586,0.2294,0.31234,0.93336,0.96522,0.2287,0.2303
160_cs,CONF_0141,-0.30362,-0.22456,-0.25785,0.2294,0.31463,0.97098,0.95541,0.23136,0.22772
160_cs,CONF_0180,-0.31175,-0.22535,-0.25075,0.22761,0.30604,0.96018,0.95628,0.23214,0.22732
160_cs,CONF_0218,-0.30415,-0.226,-0.24877,0.22706,0.30907,0.94255,0.96138,0.2323,0.22907
160_cs,CONF_0235,-0.30764,-0.22588,-0.25008,0.22714,0.31135,0.93611,0.94739,0.23353,0.2295
160_cs,CONF_0268,-0.30555,-0.21998,-0.26335,0.22868,0.31445,0.97354,0.9898,0.2318,0.22813
160_cs,CONF_0284,-0.3058,-0.21993,-0.26323,0.22868,0.31457,0.97323,0.9896,0.23185,0.22815
160_cs,CONF_0290,-0.29838,-0.226,-0.2579,0.22917,0.30648,0.95784,0.94952,0.23089,0.22672
161_cs,CONF_0001,-0.27102,-0.21744,-0.30296,0.22705,0.29919,0.96538,0.95968,0.22825,0.23154
161_cs,CONF_0009,-0.2593,-0.21911,-0.30702,0.22702,0.30339,0.97193,0.94351,0.22674,0.23015
161_cs,CONF_0010,-0.26151,-0.2203,-0.30431,0.22764,0.30063,0.95011,0.9686,0.22638,0.22911
161_cs,CONF_0011,-0.25821,-0.22029,-0.30634,0.22751,0.299,0.96031,0.95472,0.22697,0.22959
161_cs,CONF_0013,-0.25887,-0.22095,-0.30398,0.22733,0.30817,0.94195,0.94604,0.22779,0.23087
161_cs,CONF_0017,-0.2591,-0.22088,-0.30385,0.22736,0.30806,0.94195,0.94607,0.22778,0.23084
161_cs,CONF_0018,-0.25633,-0.22109,-0.30478,0.22739,0.3059,0.95427,0.93191,0.22808,0.23109
161_cs,CONF_0024,-0.25899,-0.22086,-0.30412,0.22745,0.30791,0.94207,0.94608,0.2278,0.23083
161_cs,CONF_0034,-0.26198,-0.22057,-0.30565,0.22907,0.29595,0.9667,0.93986,0.22717,0.23153
161_cs,CONF_0036,-0.27094,-0.21745,-0.30305,0.22707,0.29933,0.96528,0.95954,0.22825,0.23151
161_cs,CONF_0037,-0.26167,-0.22029,-0.30409,0.22764,0.30084,0.9499,0.96843,0.2264,0.2291
161_cs,CONF_0048,-0.25285,-0.22256,-0.30334,0.22849,0.30726,0.95389,0.9294,0.22645,0.22912
161_cs,CONF_0049,-0.25273,-0.22261,-0.30319,0.22845,0.30766,0.95392,0.92899,0.22654,0.22925
161_cs,CONF_0053,-0.25202,-0.22362,-0.30702,0.22884,0.30296,0.96271,0.93522,0.22506,0.22958
161_cs,CONF_0056,-0.25548,-0.2228,-0.30833,0.22646,0.30369,0.95242,0.94498,0.22753,0.23341
161_cs,CONF_0061,-0.2657,-0.21919,-0.30334,0.22933,0.30388,0.96952,0.95098,0.22789,0.23162
161_cs,CONF_0063,-0.25536,-0.22278,-0.30858,0.22643,0.3036,0.95256,0.94511,0.22755,0.23345
161_cs,CONF_0064,-0.2521,-0.22472,-0.30626,0.22946,0.29991,0.95194,0.94808,0.22532,0.22868
161_cs,CONF_0068,-0.24979,-0.22411,-0.30504,0.22905,0.30354,0.93994,0.94276,0.22631,0.22834
161_cs,CONF_0072,-0.26227,-0.22139,-0.30552,0.22812,0.30523,0.95757,0.95234,0.22766,0.23271
161_cs,CONF_0084,-0.25587,-0.22346,-0.30497,0.22838,0.29499,0.95464,0.93576,0.22878,0.2307
161_cs,CONF_0088,-0.25906,-0.22086,-0.30393,0.22735,0.30793,0.94198,0.94606,0.22776,0.23085
161_cs,CONF_0089,-0.25764,-0.22089,-0.30492,0.22758,0.30562,0.94661,0.93836,0.2276,0.23192
161_cs,CONF_0100,-0.25759,-0.22097,-0.30478,0.22752,0.30579,0.94648,0.93826,0.2276,0.2319
161_cs,CONF_0104,-0.25166,-0.22429,-0.30349,0.22935,0.30359,0.94374,0.92742,0.22622,0.23024
161_cs,CONF_0114,-0.25674,-0.22321,-0.30742,0.22805,0.30545,0.97421,0.94695,0.22723,0.23238
161_cs,CONF_0118,-0.26001,-0.2234,-0.29698,0.22829,0.30414,0.95161,0.9353,0.22791,0.23035
161_cs,CONF_0120,-0.25702,-0.22383,-0.30493,0.22932,0.3059,0.94096,0.94757,0.22714,0.23167
161_cs,CONF_0122,-0.25198,-0.22478,-0.30628,0.22947,0.29974,0.95212,0.9481,0.2253,0.22865
161_cs,CONF_0123,-0.25692,-0.22499,-0.29751,0.22808,0.30245,0.96081,0.93705,0.22617,0.22896
161_cs,CONF_0124,-0.25179,-0.22372,-0.30703,0.22884,0.30346,0.9624,0.93481,0.22511,0.22959
161_cs,CONF_0125,-0.25051,-0.22535,-0.30936,0.22785,0.30569,0.93968,0.93431,0.22757,0.23262
161_cs,CONF_0129,-0.25418,-0.22396,-0.30122,0.22865,0.30467,0.95497,0.92173,0.22694,0.23037
161_cs,CONF_0132,-0.25556,-0.22268,-0.30393,0.22974,0.30327,0.95255,0.96308,0.22709,0.22925
161_cs,CONF_0156,-0.24863,-0.22518,-0.30021,0.22942,0.31106,0.93124,0.91555,0.22799,0.2296
161_cs,CONF_0157,-0.25387,-0.22396,-0.30127,0.22858,0.30504,0.95481,0.92164,0.22705,0.23043
161_cs,CONF_0169,-0.26136,-0.22318,-0.29602,0.22834,0.30409,0.9514,0.93513,0.22794,0.23028
161_cs,CONF_0221,-0.25812,-0.22494,-0.29651,0.2282,0.3023,0.96098,0.93676,0.22611,0.22885
161_cs,CONF_0248,-0.25485,-0.22404,-0.30064,0.2286,0.30457,0.95531,0.92148,0.22704,0.23042
161_cs,CONF_0276,-0.25199,-0.22372,-0.30682,0.22888,0.30348,0.96215,0.93484,0.22513,0.22956
162_cs,CONF_0001,-0.27068,-0.21737,-0.30303,0.22688,0.29962,0.9656,0.95941,0.22824,0.23142
162_cs,CONF_0009,-0.25913,-0.21916,-0.30684,0.22701,0.30365,0.97183,0.9439,0.22679,0.23009
162_cs,CONF_0010,-0.26088,-0.22043,-0.30427,0.22758,0.30155,0.94966,0.96809,0.22633,0.229
162_cs,CONF_0011,-0.25804,-0.22029,-0.30657,0.2275,0.2993,0.96,0.95443,0.22701,0.22968
162_cs,CONF_0013,-0.25836,-0.22089,-0.30403,0.22716,0.3083,0.94211,0.94564,0.22776,0.23078
162_cs,CONF_0017,-0.25852,-0.22097,-0.30384,0.22721,0.30825,0.94208,0.94557,0.22775,0.23079
162_cs,CONF_0018,-0.2562,-0.22113,-0.3051,0.22739,0.30573,0.95449,0.93185,0.22815,0.23121
162_cs,CONF_0024,-0.25848,-0.22095,-0.30394,0.22724,0.30823,0.94214,0.94557,0.22775,0.23078
162_cs,CONF_0034,-0.26147,-0.22077,-0.30601,0.22897,0.29618,0.96714,0.93963,0.22728,0.23158
162_cs,CONF_0036,-0.27077,-0.21734,-0.30295,0.22688,0.29975,0.96565,0.95936,0.22825,0.2314
162_cs,CONF_0037,-0.2611,-0.22037,-0.30399,0.22757,0.30156,0.94956,0.96816,0.2263,0.22896
162_cs,CONF_0048,-0.25281,-0.22268,-0.30315,0.22845,0.30731,0.95369,0.92958,0.22653,0.22903
162_cs,CONF_0049,-0.25262,-0.22271,-0.3032,0.22844,0.30775,0.95357,0.9293,0.22658,0.22908
162_cs,CONF_0053,-0.25172,-0.22384,-0.30692,0.2289,0.30373,0.96236,0.93509,0.22519,0.22949
162_cs,CONF_0056,-0.2553,-0.22283,-0.30833,0.22648,0.30351,0.95196,0.94554,0.22758,0.2334
162_cs,CONF_0061,-0.26552,-0.21945,-0.30327,0.22942,0.30399,0.96918,0.95157,0.22801,0.23158
162_cs,CONF_0063,-0.25521,-0.22284,-0.30828,0.22646,0.30369,0.95183,0.94534,0.22759,0.2334
162_cs,CONF_0064,-0.25177,-0.22491,-0.30635,0.22945,0.30035,0.95156,0.94781,0.2254,0.22868
162_cs,CONF_0068,-0.24966,-0.22418,-0.30513,0.22908,0.30372,0.93974,0.94254,0.22634,0.22844
162_cs,CONF_0072,-0.26212,-0.22143,-0.30536,0.22812,0.3056,0.9572,0.95235,0.22777,0.23259
162_cs,CONF_0084,-0.2531,-0.22281,-0.31361,0.22796,0.29532,0.9582,0.94066,0.22799,0.23156
162_cs,CONF_0088,-0.25866,-0.22096,-0.30361,0.22722,0.30834,0.94194,0.94559,0.22774,0.23075
162_cs,CONF_0089,-0.25757,-0.22104,-0.3048,0.22751,0.30569,0.94705,0.93826,0.22774,0.23201
162_cs,CONF_0104,-0.25166,-0.22433,-0.3036,0.22927,0.30347,0.94381,0.92773,0.22633,0.2302
162_cs,CONF_0115,-0.25689,-0.22345,-0.30707,0.22808,0.30558,0.97425,0.94698,0.22725,0.23218
162_cs,CONF_0119,-0.25903,-0.22334,-0.2975,0.22826,0.30432,0.95125,0.93545,0.22783,0.23019
162_cs,CONF_0121,-0.25659,-0.22397,-0.30519,0.22937,0.30629,0.94047,0.94773,0.22725,0.23161
162_cs,CONF_0123,-0.25177,-0.22493,-0.30644,0.2295,0.30025,0.95163,0.94787,0.22537,0.22866
162_cs,CONF_0124,-0.25628,-0.22514,-0.29753,0.22806,0.30282,0.96044,0.93667,0.22602,0.22885
162_cs,CONF_0125,-0.25176,-0.22375,-0.30695,0.22884,0.3038,0.96243,0.93496,0.22523,0.22951
162_cs,CONF_0126,-0.25057,-0.22532,-0.30967,0.22787,0.30574,0.93976,0.93487,0.22765,0.23256
162_cs,CONF_0130,-0.25424,-0.22388,-0.30091,0.22854,0.30447,0.95477,0.92189,0.22696,0.2302
162_cs,CONF_0133,-0.25599,-0.2227,-0.30381,0.22972,0.30336,0.95184,0.9633,0.22726,0.22925
