Ligand,Conformer,LUMO+1,LUMO,HOMO,HOMO-1,HOMO-2,HOMO-3,dipole(debye),trace,anisotropy
101_cs,CONF_0530,-2.045,-2.573,-5.188,-5.845,-6.047,-6.375,3.9516,-195.339237,24.341340
101_cs,CONF_0541,-2.044,-2.596,-5.220,-5.824,-6.042,-6.375,4.0950,-195.115989,24.770951
101_cs,CONF_0562,-1.952,-2.660,-5.205,-5.793,-6.064,-6.356,4.1867,-195.173495,23.319770
101_cs,CONF_0579,-1.874,-2.691,-5.205,-5.800,-6.105,-6.367,4.4025,-194.861801,22.043148
101_cs,CONF_0726,-2.021,-2.516,-5.174,-5.780,-6.049,-6.374,3.4753,-195.698571,26.070673
101_cs,CONF_0740,-1.913,-2.714,-5.206,-5.807,-6.090,-6.364,4.3451,-194.877936,22.678083
101_cs,CONF_0744,-1.871,-2.695,-5.205,-5.802,-6.105,-6.366,4.3874,-194.837478,22.037731
101_cs,CONF_0956,-1.848,-2.749,-5.192,-5.776,-6.078,-6.320,4.0152,-194.838130,22.812013
101_cs,CONF_1007,-1.989,-2.591,-5.207,-5.884,-6.028,-6.346,3.6546,-195.642902,23.547829
102_cs,CONF_0002,-2.030,-2.475,-5.203,-5.860,-6.057,-6.349,3.8337,-196.320129,24.852446
102_cs,CONF_0004,-2.052,-2.437,-5.185,-5.894,-6.049,-6.351,3.6330,-196.292105,25.586332
102_cs,CONF_0005,-1.973,-2.558,-5.203,-5.895,-6.068,-6.351,3.9468,-195.816947,23.925533
102_cs,CONF_0008,-2.022,-2.463,-5.216,-5.901,-6.045,-6.354,3.7503,-196.277303,23.657592
102_cs,CONF_0013,-2.050,-2.437,-5.169,-5.829,-6.050,-6.383,3.3530,-196.518280,26.176785
102_cs,CONF_0014,-2.030,-2.516,-5.183,-5.834,-6.072,-6.384,3.7962,-196.038891,25.440862
102_cs,CONF_0017,-2.050,-2.437,-5.168,-5.828,-6.050,-6.383,3.3486,-196.518032,26.178222
102_cs,CONF_0022,-2.056,-2.387,-5.165,-5.840,-6.035,-6.377,3.0474,-196.628094,26.415150
102_cs,CONF_0027,-2.029,-2.459,-5.175,-5.839,-6.055,-6.376,3.5030,-196.252032,25.232598
102_cs,CONF_0028,-2.013,-2.460,-5.207,-5.889,-6.056,-6.338,3.4111,-196.284334,24.782622
102_cs,CONF_0030,-2.049,-2.384,-5.160,-5.834,-6.030,-6.373,3.0242,-196.750393,26.427451
102_cs,CONF_0033,-2.016,-2.466,-5.209,-5.891,-6.059,-6.340,3.3954,-196.218442,24.667558
102_cs,CONF_0035,-2.027,-2.471,-5.164,-5.844,-6.056,-6.366,3.7587,-196.163235,24.946547
102_cs,CONF_0036,-1.956,-2.575,-5.214,-5.863,-6.068,-6.341,3.6968,-195.992163,24.031643
102_cs,CONF_0039,-2.027,-2.532,-5.190,-5.838,-6.066,-6.373,3.8484,-195.870156,24.876888
102_cs,CONF_0040,-1.980,-2.586,-5.188,-5.888,-6.071,-6.342,4.1670,-195.790169,23.284617
102_cs,CONF_0068,-2.015,-2.591,-5.169,-5.821,-6.019,-6.356,4.0593,-195.646298,24.898398
102_cs,CONF_0078,-2.013,-2.585,-5.230,-5.814,-6.016,-6.359,4.2775,-195.368449,24.373318
102_cs,CONF_0098,-1.934,-2.618,-5.215,-5.749,-6.042,-6.351,4.1872,-195.227491,23.744556
102_cs,CONF_0112,-2.024,-2.601,-5.222,-5.863,-6.013,-6.375,4.1504,-195.304204,23.788648
102_cs,CONF_0230,-2.041,-2.573,-5.228,-5.865,-6.005,-6.372,3.9095,-195.654700,25.945300
102_cs,CONF_0261,-2.051,-2.569,-5.192,-5.909,-6.002,-6.373,3.7854,-195.702307,25.816891
102_cs,CONF_0269,-1.981,-2.570,-5.213,-5.806,-6.062,-6.356,4.0160,-195.539050,24.474739
102_cs,CONF_0282,-1.997,-2.514,-5.166,-5.756,-6.032,-6.377,3.9922,-195.726160,24.718210
102_cs,CONF_0286,-2.032,-2.638,-5.206,-5.937,-6.014,-6.360,3.7879,-195.274322,25.095257
102_cs,CONF_0290,-2.008,-2.527,-5.173,-5.756,-6.030,-6.377,3.7469,-195.570187,25.445660
102_cs,CONF_0300,-1.989,-2.593,-5.194,-5.753,-6.031,-6.386,4.0658,-195.220375,24.558754
102_cs,CONF_0409,-1.888,-2.718,-5.174,-5.761,-6.068,-6.363,4.1189,-194.850229,23.363674
102_cs,CONF_0519,-2.047,-2.572,-5.190,-5.847,-6.047,-6.375,3.9366,-195.291704,24.396287
102_cs,CONF_0532,-2.042,-2.589,-5.216,-5.819,-6.038,-6.374,4.1520,-195.207279,24.561025
102_cs,CONF_0556,-1.875,-2.694,-5.205,-5.802,-6.106,-6.366,4.3854,-194.830987,22.093930
102_cs,CONF_0605,-1.953,-2.661,-5.206,-5.795,-6.064,-6.357,4.1857,-195.165765,23.338758
102_cs,CONF_0626,-1.989,-2.588,-5.210,-5.884,-6.028,-6.347,3.6476,-195.624668,23.445311
102_cs,CONF_0711,-2.022,-2.515,-5.174,-5.781,-6.049,-6.375,3.4802,-195.693214,26.076332
102_cs,CONF_0713,-1.900,-2.723,-5.195,-5.790,-6.083,-6.360,4.3861,-194.945329,22.426847
102_cs,CONF_0934,-2.025,-2.509,-5.171,-5.781,-6.049,-6.374,3.4682,-195.731124,26.172945
102_cs,CONF_0939,-1.849,-2.747,-5.192,-5.775,-6.077,-6.320,4.0074,-194.858797,22.862323
103_cs,CONF_0007,-2.108,-2.489,-5.154,-5.893,-6.023,-6.347,3.7218,-192.141063,24.793775
103_cs,CONF_0032,-2.078,-2.519,-5.143,-5.880,-5.954,-6.350,3.7464,-191.672965,24.373328
103_cs,CONF_0036,-2.119,-2.500,-5.176,-5.887,-6.014,-6.348,3.4406,-192.150839,24.483780
103_cs,CONF_0038,-2.086,-2.575,-5.163,-5.896,-5.975,-6.367,4.0105,-191.571253,24.743434
103_cs,CONF_0059,-2.008,-2.628,-5.166,-5.754,-6.016,-6.324,4.5117,-190.900584,22.989125
103_cs,CONF_0063,-2.035,-2.566,-5.177,-5.859,-5.982,-6.347,3.5911,-191.380223,22.543969
103_cs,CONF_0067,-2.070,-2.638,-5.148,-5.850,-6.012,-6.356,4.2779,-191.054557,23.251835
103_cs,CONF_0068,-2.059,-2.620,-5.158,-5.821,-5.997,-6.336,4.2292,-191.314667,23.148589
103_cs,CONF_0077,-2.095,-2.517,-5.159,-5.878,-5.954,-6.354,3.6332,-192.040555,23.338248
103_cs,CONF_0081,-2.104,-2.610,-5.196,-5.887,-5.973,-6.359,4.0760,-191.020931,23.655288
103_cs,CONF_0103,-2.069,-2.647,-5.182,-5.817,-5.992,-6.360,4.0764,-190.971993,23.744122
103_cs,CONF_0108,-2.069,-2.647,-5.182,-5.816,-5.992,-6.360,4.0811,-190.965577,23.712007
103_cs,CONF_0122,-2.080,-2.560,-5.124,-5.842,-5.980,-6.344,3.8463,-191.609254,23.976235
103_cs,CONF_0163,-2.024,-2.614,-5.144,-5.821,-6.007,-6.328,4.0483,-191.281877,23.142997
103_cs,CONF_0164,-2.093,-2.593,-5.201,-5.876,-5.977,-6.360,3.9507,-191.217638,23.344004
103_cs,CONF_0173,-2.118,-2.512,-5.168,-5.851,-6.005,-6.365,3.3315,-192.190942,25.172107
103_cs,CONF_0280,-2.020,-2.609,-5.171,-5.801,-6.005,-6.328,3.9172,-191.250190,23.232405
103_cs,CONF_0376,-2.007,-2.686,-5.136,-5.778,-6.025,-6.329,4.6579,-191.146941,23.702930
103_cs,CONF_0421,-2.078,-2.588,-5.160,-5.805,-5.984,-6.363,3.7410,-191.313773,24.494307
103_cs,CONF_0423,-2.045,-2.595,-5.167,-5.787,-5.999,-6.341,3.7620,-191.394589,23.570812
103_cs,CONF_0491,-1.984,-2.634,-5.123,-5.769,-6.023,-6.330,4.6109,-191.356714,23.420376
103_cs,CONF_0594,-2.073,-2.597,-5.201,-5.853,-5.972,-6.354,3.9560,-191.330873,22.474153
103_cs,CONF_0640,-1.965,-2.758,-5.123,-5.742,-6.033,-6.340,4.8715,-190.486585,23.077665
103_cs,CONF_0740,-2.047,-2.741,-5.236,-5.821,-5.989,-6.356,4.1444,-189.898524,21.539408
103_cs,CONF_0765,-2.086,-2.672,-5.215,-5.910,-5.963,-6.368,4.3071,-190.574711,22.629630
103_cs,CONF_0812,-2.010,-2.729,-5.166,-5.814,-5.984,-6.341,4.2320,-190.538432,23.547325
103_cs,CONF_0813,-2.077,-2.648,-5.148,-5.832,-6.008,-6.357,4.5900,-190.887245,22.693799
103_cs,CONF_0846,-2.077,-2.648,-5.148,-5.831,-6.008,-6.357,4.5883,-190.886715,22.699714
103_cs,CONF_0879,-2.022,-2.606,-5.169,-5.801,-6.002,-6.326,3.9027,-191.329160,23.420009
103_cs,CONF_0986,-2.007,-2.685,-5.137,-5.779,-6.025,-6.330,4.6521,-191.148303,23.698995
103_cs,CONF_1024,-2.070,-2.620,-5.157,-5.809,-5.991,-6.345,4.5856,-191.106464,22.800514
103_cs,CONF_1078,-2.088,-2.625,-5.176,-5.814,-5.995,-6.366,3.6322,-190.883369,23.927712
103_cs,CONF_1255,-1.999,-2.732,-5.206,-5.785,-5.993,-6.330,4.2624,-190.435226,22.607375
104_cs,CONF_0036,-2.117,-2.499,-5.176,-5.885,-6.013,-6.347,3.4420,-192.161186,24.494958
104_cs,CONF_0037,-2.086,-2.575,-5.164,-5.896,-5.975,-6.366,4.0292,-191.555212,24.720598
104_cs,CONF_0060,-2.007,-2.629,-5.167,-5.752,-6.017,-6.324,4.5143,-190.892239,22.906945
104_cs,CONF_0063,-2.031,-2.565,-5.177,-5.857,-5.982,-6.347,3.5846,-191.373963,22.619787
104_cs,CONF_0069,-2.058,-2.621,-5.158,-5.819,-5.996,-6.337,4.2242,-191.302292,23.132590
104_cs,CONF_0070,-2.072,-2.639,-5.149,-5.853,-6.014,-6.357,4.2792,-191.051753,23.167703
104_cs,CONF_0074,-2.066,-2.652,-5.231,-5.907,-6.001,-6.349,4.1326,-190.568292,21.626941
104_cs,CONF_0078,-2.095,-2.517,-5.160,-5.879,-5.954,-6.354,3.6378,-192.019983,23.402015
104_cs,CONF_0083,-2.106,-2.610,-5.197,-5.888,-5.975,-6.360,4.0643,-190.966967,23.670138
104_cs,CONF_0103,-2.069,-2.647,-5.182,-5.816,-5.992,-6.359,4.0922,-190.960834,23.714388
104_cs,CONF_0115,-2.068,-2.646,-5.182,-5.816,-5.992,-6.359,4.0769,-190.964828,23.704592
104_cs,CONF_0122,-2.079,-2.557,-5.123,-5.839,-5.980,-6.344,3.8520,-191.629091,23.973630
104_cs,CONF_0158,-2.021,-2.613,-5.143,-5.820,-6.007,-6.328,4.0705,-191.289633,23.145495
104_cs,CONF_0163,-2.093,-2.594,-5.201,-5.875,-5.977,-6.360,3.9385,-191.209109,23.337338
104_cs,CONF_0275,-2.020,-2.608,-5.171,-5.800,-6.006,-6.329,3.9167,-191.237214,23.230506
104_cs,CONF_0336,-2.087,-2.575,-5.164,-5.896,-5.975,-6.367,4.0251,-191.574187,24.759140
104_cs,CONF_0370,-2.007,-2.684,-5.136,-5.777,-6.024,-6.329,4.6584,-191.144587,23.702950
104_cs,CONF_0379,-2.071,-2.586,-5.159,-5.801,-5.982,-6.361,3.7223,-191.380075,24.474966
104_cs,CONF_0419,-2.043,-2.596,-5.167,-5.787,-5.999,-6.341,3.7734,-191.379726,23.577907
104_cs,CONF_0502,-1.986,-2.634,-5.123,-5.769,-6.024,-6.330,4.6047,-191.343887,23.438441
104_cs,CONF_0584,-2.072,-2.598,-5.200,-5.850,-5.971,-6.355,3.9612,-191.322782,22.542761
104_cs,CONF_0687,-1.965,-2.760,-5.123,-5.743,-6.033,-6.340,4.8619,-190.475647,23.071888
104_cs,CONF_0722,-2.049,-2.739,-5.237,-5.825,-5.990,-6.359,4.1612,-189.897811,21.474816
104_cs,CONF_0755,-2.088,-2.674,-5.216,-5.908,-5.962,-6.369,4.3173,-190.524702,22.729686
104_cs,CONF_0780,-2.007,-2.727,-5.165,-5.811,-5.983,-6.340,4.2528,-190.532450,23.505293
104_cs,CONF_0812,-2.072,-2.639,-5.150,-5.852,-6.013,-6.357,4.2702,-191.042758,23.176407
104_cs,CONF_0828,-2.079,-2.651,-5.148,-5.832,-6.008,-6.357,4.5727,-190.882435,22.704956
104_cs,CONF_0858,-2.020,-2.609,-5.172,-5.801,-6.006,-6.329,3.9130,-191.230988,23.249734
104_cs,CONF_0967,-2.008,-2.685,-5.137,-5.778,-6.025,-6.329,4.6569,-191.141552,23.711137
104_cs,CONF_1032,-2.068,-2.616,-5.156,-5.806,-5.989,-6.344,4.5761,-191.148918,22.685731
104_cs,CONF_1043,-2.116,-2.613,-5.188,-5.887,-5.991,-6.366,4.1255,-191.178475,24.598968
104_cs,CONF_1200,-2.045,-2.594,-5.167,-5.790,-5.999,-6.341,3.7803,-191.394676,23.583280
104_cs,CONF_1230,-1.997,-2.731,-5.206,-5.783,-5.994,-6.330,4.2661,-190.438425,22.580827
105_cs,CONF_0001,-2.393,-2.921,-5.396,-5.790,-5.975,-6.107,6.2889,-252.372293,56.742861
105_cs,CONF_0004,-2.189,-2.977,-5.386,-5.865,-5.908,-6.152,5.7153,-252.647586,53.981525
105_cs,CONF_0005,-2.169,-3.036,-5.298,-5.834,-5.958,-6.183,5.4084,-252.608499,56.453062
105_cs,CONF_0007,-2.192,-2.979,-5.385,-5.865,-5.909,-6.154,5.6964,-252.669603,53.826175
105_cs,CONF_0010,-2.393,-2.921,-5.395,-5.790,-5.975,-6.107,6.2891,-252.376272,56.787691
105_cs,CONF_0012,-2.168,-3.037,-5.297,-5.836,-5.958,-6.183,5.4144,-252.597434,56.463093
105_cs,CONF_0013,-2.169,-3.035,-5.298,-5.834,-5.958,-6.183,5.4043,-252.612639,56.463017
105_cs,CONF_0014,-2.393,-2.920,-5.393,-5.790,-5.974,-6.106,6.2904,-252.400448,56.703149
106_cs,CONF_0003,-2.392,-2.921,-5.395,-5.790,-5.974,-6.107,6.3048,-252.358784,56.668434
106_cs,CONF_0004,-2.192,-2.977,-5.386,-5.864,-5.909,-6.152,5.7155,-252.648284,53.971541
106_cs,CONF_0005,-2.171,-3.040,-5.301,-5.838,-5.962,-6.186,5.3923,-252.462191,56.499015
106_cs,CONF_0007,-2.190,-2.977,-5.385,-5.864,-5.909,-6.152,5.7038,-252.689239,53.793210
106_cs,CONF_0010,-2.394,-2.921,-5.393,-5.789,-5.974,-6.107,6.2805,-252.399540,56.754822
106_cs,CONF_0011,-2.173,-3.040,-5.301,-5.838,-5.962,-6.186,5.3885,-252.444754,56.424366
106_cs,CONF_0012,-2.170,-3.038,-5.297,-5.835,-5.959,-6.184,5.4096,-252.583256,56.397359
106_cs,CONF_0013,-2.393,-2.921,-5.394,-5.791,-5.974,-6.105,6.2995,-252.368956,56.710457
107_cs,CONF_0003,-2.125,-2.469,-5.252,-5.915,-6.071,-6.409,4.6789,-160.438300,24.706769
107_cs,CONF_0004,-2.115,-2.490,-5.267,-5.910,-6.065,-6.401,4.7112,-160.132029,25.206433
107_cs,CONF_0007,-2.114,-2.497,-5.263,-5.877,-6.077,-6.391,4.6980,-160.094705,25.090612
107_cs,CONF_0009,-2.110,-2.486,-5.242,-5.897,-6.067,-6.409,4.8916,-160.084130,25.233740
107_cs,CONF_0010,-2.110,-2.512,-5.275,-5.879,-6.054,-6.404,4.4542,-160.116064,24.386039
107_cs,CONF_0015,-2.117,-2.535,-5.276,-5.908,-6.083,-6.381,4.8960,-159.624068,26.081346
107_cs,CONF_0020,-2.117,-2.535,-5.276,-5.908,-6.083,-6.382,4.8908,-159.623809,26.094278
107_cs,CONF_0024,-2.071,-2.503,-5.233,-5.850,-6.061,-6.398,4.9793,-160.043677,24.562340
107_cs,CONF_0026,-2.104,-2.538,-5.291,-5.865,-6.063,-6.390,4.7533,-159.757761,24.967376
107_cs,CONF_0027,-2.108,-2.530,-5.254,-5.871,-6.103,-6.403,4.6278,-159.935186,25.068446
107_cs,CONF_0030,-2.088,-2.514,-5.232,-5.878,-6.081,-6.393,5.1033,-159.517395,25.684684
107_cs,CONF_0032,-2.069,-2.518,-5.248,-5.850,-6.064,-6.400,5.0814,-159.740632,24.901731
107_cs,CONF_0033,-2.110,-2.513,-5.275,-5.877,-6.054,-6.403,4.4617,-160.115327,24.401394
107_cs,CONF_0034,-2.114,-2.522,-5.257,-5.869,-6.102,-6.397,4.6308,-159.884799,24.959479
107_cs,CONF_0035,-2.080,-2.548,-5.243,-5.865,-6.046,-6.392,4.9879,-159.562618,25.348809
107_cs,CONF_0044,-2.101,-2.550,-5.261,-5.874,-6.095,-6.400,4.8928,-159.592669,25.861545
107_cs,CONF_0045,-2.086,-2.538,-5.270,-5.858,-6.084,-6.399,4.8655,-159.667969,24.501706
107_cs,CONF_0052,-2.070,-2.533,-5.263,-5.843,-6.073,-6.399,4.8750,-159.691907,24.556646
107_cs,CONF_0054,-2.041,-2.634,-5.263,-5.891,-6.104,-6.385,4.4581,-159.474133,25.302184
107_cs,CONF_0055,-2.106,-2.507,-5.249,-5.897,-6.074,-6.398,4.8785,-159.714943,25.182622
107_cs,CONF_0058,-2.072,-2.512,-5.223,-5.846,-6.062,-6.399,5.0812,-159.708180,25.129631
107_cs,CONF_0060,-2.042,-2.632,-5.251,-5.902,-6.120,-6.393,4.2157,-159.707160,25.050094
107_cs,CONF_0063,-2.112,-2.504,-5.274,-5.882,-6.052,-6.401,4.0953,-160.056227,25.650170
107_cs,CONF_0066,-2.095,-2.526,-5.254,-5.877,-6.067,-6.405,4.6746,-159.947590,24.469000
107_cs,CONF_0067,-2.070,-2.544,-5.261,-5.858,-6.055,-6.386,5.1939,-159.296989,25.467143
107_cs,CONF_0068,-2.085,-2.538,-5.270,-5.857,-6.084,-6.399,4.8665,-159.668135,24.508996
107_cs,CONF_0075,-2.066,-2.555,-5.273,-5.840,-6.070,-6.394,4.8805,-159.327548,24.969720
107_cs,CONF_0096,-2.092,-2.578,-5.286,-5.875,-6.076,-6.398,4.9366,-159.271570,25.691490
107_cs,CONF_0100,-2.098,-2.593,-5.267,-5.867,-6.079,-6.398,5.1042,-159.128974,26.135172
107_cs,CONF_0103,-2.042,-2.616,-5.252,-5.908,-6.095,-6.381,4.6730,-159.466959,25.304785
107_cs,CONF_0113,-2.102,-2.542,-5.267,-5.859,-6.075,-6.410,4.6490,-159.575926,24.973555
107_cs,CONF_0144,-2.072,-2.511,-5.223,-5.847,-6.062,-6.400,5.0849,-159.708751,25.136663
107_cs,CONF_0145,-2.082,-2.570,-5.281,-5.830,-6.069,-6.389,4.7979,-159.285901,24.976314
107_cs,CONF_0167,-2.028,-2.626,-5.296,-5.875,-6.099,-6.386,4.6821,-159.263707,24.963024
107_cs,CONF_0170,-2.049,-2.614,-5.287,-5.875,-6.112,-6.389,4.4313,-159.392054,24.958349
107_cs,CONF_0197,-2.009,-2.658,-5.313,-5.863,-6.118,-6.373,4.6630,-158.841758,25.080550
107_cs,CONF_0206,-2.106,-2.506,-5.250,-5.897,-6.074,-6.397,4.8891,-159.706604,25.171996
107_cs,CONF_0224,-1.990,-2.655,-5.277,-5.880,-6.117,-6.370,4.7154,-158.945852,24.552556
107_cs,CONF_0378,-2.059,-2.560,-5.248,-5.843,-6.094,-6.395,5.0425,-159.208394,24.546725
