Ligand,Conformer,bending_6_5_7,stretch_1--5,stretch_2--5,stretch_3--5,stretch_5--6,stretch_5--7
S-C3-TUNEPHOS_1,CONF_0004,244.54,192.10,201.93,203.64,209.35,603.25
S-C3-TUNEPHOS_1,CONF_0005,249.85,198.88,201.86,203.53,211.75,603.29
S-C3-TUNEPHOS_1,CONF_0006,253.16,206.07,201.77,204.75,198.08,614.40
S-C3-TUNEPHOS_1,CONF_0007,254.66,204.04,201.41,204.33,202.97,614.46
S-C3-TUNEPHOS_1,CONF_0008,253.37,197.97,204.17,201.46,206.05,614.32
S-C3-TUNEPHOS_1,CONF_0009,254.99,203.06,204.22,201.46,204.24,614.38
S-C3-TUNEPHOS_1,CONF_0010,249.81,198.87,201.79,203.62,211.76,603.32
S-C3-TUNEPHOS_1,CONF_0011,248.33,211.14,203.65,201.51,198.97,602.91
S-C3-TUNEPHOS_1,CONF_0012,243.05,208.80,203.77,201.40,191.71,602.68
S-C3-TUNEPHOS_1,CONF_0015,286.50,204.73,202.54,201.11,212.23,603.61
S-C3-TUNEPHOS_1,CONF_0018,244.17,192.53,202.32,200.89,210.18,603.50
S-C3-TUNEPHOS_1,CONF_0019,266.35,195.81,198.43,202.14,214.69,600.55
S-C3-TUNEPHOS_1,CONF_0022,271.38,196.71,201.85,200.46,209.88,602.17
S-C3-TUNEPHOS_1,CONF_0024,293.44,196.26,198.78,202.46,207.63,599.28
S-C3-TUNEPHOS_1,CONF_0025,270.76,196.37,202.47,200.37,207.03,602.57
S-C3-TUNEPHOS_1,CONF_0026,244.53,192.09,201.94,203.55,209.36,603.18
S-C3-TUNEPHOS_1,CONF_0032,253.29,206.05,201.75,204.14,198.30,614.10
S-C3-TUNEPHOS_1,CONF_0033,254.87,204.17,201.78,204.16,203.27,614.10
S-C3-TUNEPHOS_1,CONF_0034,248.22,198.80,201.24,203.59,212.53,602.27
S-C3-TUNEPHOS_1,CONF_0035,242.46,191.48,201.62,203.45,209.14,602.33
S-C3-TUNEPHOS_1,CONF_0036,254.64,204.00,201.21,204.50,202.94,614.42
S-C3-TUNEPHOS_1,CONF_0037,253.18,206.04,201.75,204.74,198.11,614.39
S-C3-TUNEPHOS_1,CONF_0039,252.95,205.77,201.37,204.11,197.98,614.52
S-C3-TUNEPHOS_1,CONF_0040,303.75,204.96,201.58,203.93,201.55,613.61
S-C3-TUNEPHOS_1,CONF_0042,250.04,199.78,202.45,201.06,212.27,604.01
S-C3-TUNEPHOS_1,CONF_0044,253.91,202.73,202.30,205.40,203.93,610.49
S-C3-TUNEPHOS_1,CONF_0045,252.41,205.62,202.56,205.43,198.76,610.73
S-C3-TUNEPHOS_1,CONF_0046,253.14,198.16,204.03,201.10,205.81,614.29
S-C3-TUNEPHOS_1,CONF_0047,254.92,202.97,204.09,201.43,204.21,614.41
S-C3-TUNEPHOS_1,CONF_0050,300.92,203.37,202.62,204.95,202.82,610.77
S-C3-TUNEPHOS_1,CONF_0051,253.45,198.03,204.02,201.37,206.09,614.19
S-C3-TUNEPHOS_1,CONF_0052,243.10,208.83,203.70,201.33,191.71,602.58
S-C3-TUNEPHOS_1,CONF_0055,244.14,210.17,201.14,202.17,192.64,603.46
S-C3-TUNEPHOS_1,CONF_0056,249.99,212.42,201.03,202.05,200.02,603.43
S-C3-TUNEPHOS_1,CONF_0057,268.24,204.63,203.59,201.27,195.80,600.92
S-C3-TUNEPHOS_1,CONF_0058,291.85,207.49,203.95,201.78,196.60,601.68
R-DTBM-SEGPHOS_1,CONF_0032,99.14,147.53,168.73,201.38,203.39,605.29
R-DTBM-SEGPHOS_1,CONF_0037,99.12,147.53,168.74,201.31,203.39,605.33
R-DTBM-SEGPHOS_1,CONF_0045,101.05,146.36,169.32,201.56,203.08,605.25
R-DTBM-SEGPHOS_1,CONF_0049,98.76,146.91,168.85,201.70,202.73,605.38
R-DTBM-SEGPHOS_1,CONF_0053,98.60,146.73,168.96,201.37,203.07,605.30
R-DTBM-SEGPHOS_1,CONF_0055,99.03,168.85,147.62,203.70,201.12,606.11
R-DTBM-SEGPHOS_1,CONF_0057,101.02,146.41,169.34,201.51,203.25,605.28
R-DTBM-SEGPHOS_1,CONF_0061,98.56,146.72,168.87,201.43,203.07,605.27
R-DTBM-SEGPHOS_1,CONF_0070,102.14,146.99,169.74,201.66,203.65,605.41
R-DTBM-SEGPHOS_1,CONF_0084,101.77,169.69,147.12,203.30,201.45,606.16
R-DTBM-SEGPHOS_1,CONF_0114,108.32,162.41,159.89,205.02,198.83,603.81
R-DTBM-SEGPHOS_1,CONF_0132,101.79,147.22,166.29,202.60,204.10,608.77
R-DTBM-SEGPHOS_1,CONF_0143,105.09,153.82,166.07,200.07,203.86,603.61
R-DTBM-SEGPHOS_1,CONF_0148,101.66,147.04,166.59,202.95,204.15,609.08
R-DTBM-SEGPHOS_1,CONF_0172,107.80,167.18,153.98,205.18,200.08,604.20
R-DTBM-SEGPHOS_1,CONF_0175,105.32,159.42,160.73,199.76,203.83,598.31
R-DTBM-SEGPHOS_1,CONF_0205,106.20,161.60,160.28,204.72,199.52,598.85
R-DTBM-SEGPHOS_1,CONF_0220,109.16,161.37,160.13,204.61,199.61,604.24
R-DTBM-SEGPHOS_1,CONF_0224,100.98,147.29,165.82,201.86,203.69,608.44
R-DTBM-SEGPHOS_1,CONF_0244,100.33,149.00,164.55,204.23,203.61,609.87
R-DTBM-SEGPHOS_1,CONF_0254,101.56,147.42,166.20,202.60,203.78,608.11
R-DTBM-SEGPHOS_1,CONF_0294,109.17,161.99,159.98,204.77,199.33,604.78
R-DTBM-SEGPHOS_1,CONF_0349,103.25,160.99,154.63,203.96,202.52,618.89
R-DTBM-SEGPHOS_1,CONF_0385,101.52,161.13,152.61,203.58,201.02,618.61
R-DTBM-SEGPHOS_1,CONF_0397,108.54,160.64,160.64,204.72,199.23,603.15
R-DTBM-SEGPHOS_1,CONF_0416,101.54,149.90,164.50,204.44,203.64,610.63
R-DTBM-SEGPHOS_1,CONF_0452,108.77,160.58,160.62,204.13,199.07,603.44
R-DTBM-SEGPHOS_1,CONF_0482,100.92,160.98,152.78,204.30,200.75,619.30
R-DTBM-SEGPHOS_1,CONF_0483,109.19,161.42,160.29,204.91,199.67,603.97
R-DTBM-SEGPHOS_1,CONF_0493,108.74,160.50,160.69,204.43,198.95,603.25
R-DTBM-SEGPHOS_1,CONF_0500,102.50,160.83,154.34,203.99,201.64,619.05
R-DTBM-SEGPHOS_1,CONF_0515,103.95,159.77,154.05,203.94,202.59,617.48
R-DTBM-SEGPHOS_1,CONF_0541,101.46,161.02,152.62,204.36,201.07,619.30
R-DTBM-SEGPHOS_1,CONF_0561,101.31,161.14,153.20,203.84,201.60,619.07
R-DTBM-SEGPHOS_1,CONF_0571,102.33,160.97,154.44,203.74,201.90,618.42
R-DTBM-SEGPHOS_1,CONF_0586,104.41,159.53,155.04,203.98,202.74,616.98
R-DTBM-SEGPHOS_1,CONF_0606,99.35,157.76,155.84,203.35,202.98,613.34
R-DTBM-SEGPHOS_1,CONF_0625,110.13,161.58,160.07,200.33,205.31,605.49
R-DTBM-SEGPHOS_1,CONF_0629,104.70,159.75,154.43,204.01,202.11,617.40
R-DTBM-SEGPHOS_1,CONF_0713,110.21,161.37,160.19,200.33,205.36,605.46
306_1_1,CONF_0000,293.37,202.72,202.81,233.06,234.11,594.08
306_1_1,CONF_0001,293.36,202.65,202.76,233.08,234.11,594.06
306_1_1,CONF_0002,280.68,200.33,202.42,226.37,229.92,590.80
306_1_1,CONF_0003,280.64,200.26,202.39,226.36,229.94,590.76
306_1_1,CONF_0004,308.79,201.81,202.42,252.65,252.16,589.17
306_1_1,CONF_0005,279.77,203.10,198.75,230.57,226.90,586.46
306_1_1,CONF_0006,280.10,203.28,198.84,230.90,227.08,586.30
306_1_1,CONF_0007,279.84,203.22,198.75,230.64,226.88,586.33
306_1_1,CONF_0008,279.93,199.82,198.39,225.65,224.57,586.01
306_1_1,CONF_0009,293.39,202.42,202.82,232.78,234.05,593.19
306_1_1,CONF_0010,262.91,205.00,197.25,252.99,242.58,595.93
306_1_1,CONF_0011,262.92,204.91,197.22,253.30,242.54,595.66
306_1_1,CONF_0012,265.57,208.84,200.75,251.11,236.01,596.27
306_1_1,CONF_0013,263.33,201.73,202.38,238.14,248.99,603.75
719_2,CONF_0000,182.03,200.24,201.59,268.57,274.29,588.23
719_2,CONF_0001,225.19,197.91,202.40,228.12,212.98,593.98
719_2,CONF_0002,193.61,201.30,201.57,255.55,264.59,598.40
719_2,CONF_0003,204.09,202.65,202.94,267.63,227.40,597.73
719_2,CONF_0004,313.93,197.79,197.26,265.64,265.68,574.74
719_2,CONF_0005,205.96,202.09,205.14,202.82,229.22,596.94
719_2,CONF_0006,205.81,202.07,205.20,202.82,229.13,596.97
719_2,CONF_0007,161.24,207.92,206.26,203.98,218.05,615.56
719_2,CONF_0008,169.28,206.04,208.19,181.72,236.15,615.05
719_2,CONF_0009,221.69,202.59,201.28,265.95,276.21,603.39
719_2,CONF_0010,246.72,200.09,204.27,256.86,279.63,588.66
719_2,CONF_0011,203.95,202.78,203.06,267.65,227.38,597.92
719_2,CONF_0012,174.83,202.31,202.63,267.31,276.61,592.84
719_2,CONF_0013,288.58,201.22,200.60,259.16,215.26,595.11
719_2,CONF_0014,315.09,202.66,201.83,266.80,265.84,586.51
binap-s_1,CONF_0000,138.80,184.40,194.13,199.37,201.08,599.41
binap-s_1,CONF_0001,142.92,192.49,187.60,201.05,203.97,614.75
binap-s_1,CONF_0002,136.21,183.69,193.19,201.41,203.51,601.46
binap-s_1,CONF_0003,137.51,188.61,191.12,204.67,202.76,611.69
S-BIPHOMP_1,CONF_0000,246.00,193.17,202.00,204.20,208.39,605.48
S-BIPHOMP_1,CONF_0001,245.21,210.25,201.66,202.43,193.68,605.39
S-BIPHOMP_1,CONF_0002,245.96,193.15,202.11,204.24,208.28,605.67
S-BIPHOMP_1,CONF_0003,254.69,197.82,204.97,201.99,204.21,615.89
S-BIPHOMP_1,CONF_0004,254.86,197.82,204.20,201.25,204.01,615.48
S-BIPHOMP_1,CONF_0005,244.00,210.98,203.52,201.79,191.70,605.38
S-BIPHOMP_1,CONF_0006,245.15,208.46,204.40,201.66,193.11,605.91
S-BIPHOMP_1,CONF_0007,254.18,204.06,202.08,204.24,197.56,615.55
S-BIPHOMP_1,CONF_0008,244.14,210.84,203.79,201.95,191.76,605.67
S-BIPHOMP_1,CONF_0009,244.02,211.11,203.60,201.44,191.68,605.08
S-BIPHOMP_1,CONF_0010,254.96,197.73,204.58,201.89,204.15,615.78
S-BIPHOMP_1,CONF_0011,254.81,197.66,204.39,201.85,204.16,615.66
S-BIPHOMP_1,CONF_0012,245.28,209.95,201.51,202.19,193.63,605.02
S-BIPHOMP_1,CONF_0013,254.32,197.82,204.18,201.79,204.13,615.46
475_1,CONF_0016,293.03,162.37,166.41,201.48,203.00,620.00
475_1,CONF_0118,293.43,166.59,164.65,204.99,201.70,621.13
475_1,CONF_0130,294.15,162.53,167.06,201.66,203.39,620.65
475_1,CONF_0301,381.03,251.94,155.17,207.36,204.72,606.99
475_1,CONF_0497,295.34,166.74,166.99,201.37,202.95,620.52
475_1,CONF_0689,332.03,168.91,164.23,203.50,206.96,619.01
475_1,CONF_0716,298.72,165.37,170.12,205.21,203.14,624.14
475_1,CONF_0770,287.87,163.36,167.00,201.12,204.28,622.82
475_1,CONF_0781,332.81,169.54,164.50,204.12,207.65,619.95
475_1,CONF_0892,312.31,170.06,164.70,203.15,200.25,619.81
475_1,CONF_0953,282.90,162.44,166.11,202.16,204.46,624.24
475_1,CONF_0962,334.19,165.90,169.48,206.65,204.46,619.97
475_1,CONF_0969,287.77,165.17,165.38,203.59,201.67,624.52
475_1,CONF_0975,313.92,164.43,169.68,200.56,202.85,617.61
475_1,CONF_0998,282.65,162.45,166.17,202.11,204.37,624.17
475_1,CONF_1226,320.22,169.79,163.34,205.69,206.74,618.20
475_1,CONF_1231,291.23,165.96,166.57,200.55,200.87,619.48
475_1,CONF_1356,352.49,173.09,164.43,202.60,204.90,617.22
475_1,CONF_1379,339.59,169.10,168.09,205.87,200.59,619.86
475_1,CONF_1420,315.63,164.06,168.67,199.90,199.24,614.75
475_1,CONF_1426,363.15,251.05,158.04,205.64,209.60,612.56
475_1,CONF_1540,351.78,166.20,173.46,205.12,202.60,616.12
475_1,CONF_1557,312.04,164.12,169.32,199.55,201.28,617.96
475_1,CONF_1778,311.30,164.28,168.75,201.87,202.72,624.15
475_1,CONF_1782,343.17,166.04,161.35,201.93,205.92,595.24
475_1,CONF_1793,337.43,171.42,167.72,204.04,202.60,615.17
475_1,CONF_1837,312.29,164.35,169.42,200.38,202.13,617.88
475_1,CONF_1926,351.76,173.37,166.20,202.07,204.78,615.47
475_1,CONF_2112,315.26,167.67,166.81,203.75,204.08,617.58
475_1,CONF_2204,327.72,167.66,168.58,203.65,206.76,617.61
475_1,CONF_2371,335.83,169.32,167.31,202.23,207.47,623.14
475_1,CONF_2427,288.50,163.75,166.28,201.09,201.53,619.84
475_1,CONF_2443,332.92,171.07,166.13,204.59,205.69,623.40
475_1,CONF_2528,329.45,169.59,166.82,203.42,206.39,618.72
475_1,CONF_2577,291.04,164.82,166.52,200.48,202.79,620.41
475_1,CONF_2588,291.65,162.05,167.23,201.68,205.18,621.73
475_1,CONF_2610,320.95,169.59,165.77,204.75,205.73,622.68
475_1,CONF_2615,293.52,166.49,162.48,202.79,201.04,620.42
475_1,CONF_2649,351.58,173.29,166.05,201.93,204.72,615.83
475_1,CONF_2924,327.39,167.44,168.57,203.27,206.57,618.29
R-Tol-SDP_2,CONF_0000,181.72,191.64,202.93,204.18,226.10,600.35
R-Tol-SDP_2,CONF_0001,190.21,196.02,198.96,202.70,221.68,594.30
R-Tol-SDP_2,CONF_0002,193.17,212.42,200.61,205.70,206.08,609.80
R-Tol-SDP_2,CONF_0003,193.04,212.34,200.51,205.38,205.84,609.87
R-Tol-SDP_2,CONF_0004,181.73,191.61,202.89,204.22,226.12,600.30
R-Tol-SDP_2,CONF_0005,193.05,211.72,200.29,205.76,206.14,609.35
R-Tol-SDP_2,CONF_0006,188.17,200.95,203.36,203.39,212.35,610.86
binap-r_1,CONF_0000,139.24,184.42,194.15,199.01,200.88,599.47
binap-r_1,CONF_0001,142.77,192.41,187.88,200.81,204.10,614.33
binap-r_1,CONF_0002,136.27,183.50,193.42,201.28,203.57,601.85
binap-r_1,CONF_0003,138.95,194.11,184.14,201.01,199.01,599.46
binap-r_1,CONF_0004,143.02,192.33,188.05,201.27,204.62,614.81
binap-r_2,CONF_0000,138.80,184.25,194.06,199.36,200.97,599.29
binap-r_2,CONF_0001,142.77,187.99,192.17,204.36,200.75,614.87
binap-r_2,CONF_0002,136.55,193.10,183.89,203.12,200.97,601.49
binap-r_2,CONF_0003,138.79,184.21,194.06,199.32,200.98,599.28
binap-r_2,CONF_0004,137.75,191.25,188.65,202.55,204.68,611.29
R-Tol-SDP_1,CONF_0000,181.48,191.54,203.39,204.92,225.88,600.57
R-Tol-SDP_1,CONF_0001,189.98,195.93,199.13,202.55,221.59,593.65
R-Tol-SDP_1,CONF_0002,181.85,191.50,203.12,204.78,226.08,600.55
R-Tol-SDP_1,CONF_0003,188.16,200.99,203.41,203.28,212.16,610.41
R-Tol-SDP_1,CONF_0004,185.12,218.10,202.11,199.28,195.73,595.11
R-Tol-SDP_1,CONF_0005,181.84,191.49,203.18,204.84,226.08,600.61
R-Tol-SDP_1,CONF_0006,127.80,169.80,201.76,204.34,242.24,607.57
R-Tol-SDP_1,CONF_0007,193.06,212.11,200.63,205.36,205.97,609.81
R-Tol-SDP_1,CONF_0008,187.95,201.44,203.80,202.74,211.97,610.61
R-Tol-SDP_1,CONF_0009,185.14,218.14,202.42,199.01,195.63,595.34
R-Tol-SDP_1,CONF_0010,181.86,191.53,202.42,204.78,225.82,600.32
475_2,CONF_0039,299.83,160.26,163.86,201.46,204.96,607.75
475_2,CONF_0067,333.36,166.79,166.23,205.19,205.34,609.58
475_2,CONF_0142,316.49,163.17,168.87,206.86,202.63,607.20
475_2,CONF_0144,309.91,159.36,166.88,208.51,205.26,617.09
475_2,CONF_0297,316.25,162.46,168.45,206.55,201.39,607.41
475_2,CONF_0321,298.99,169.65,162.20,204.73,205.42,612.50
475_2,CONF_0606,312.16,161.13,168.23,206.93,203.40,608.55
475_2,CONF_0652,303.14,170.99,165.14,204.10,203.56,615.07
475_2,CONF_0660,317.77,169.29,163.06,201.35,206.09,606.76
475_2,CONF_0980,299.73,165.71,164.47,205.06,206.08,612.81
475_2,CONF_1024,286.37,161.23,165.05,206.78,205.99,611.31
475_2,CONF_1174,304.48,171.41,160.98,204.38,204.26,615.07
475_2,CONF_1423,307.31,164.49,168.12,204.96,204.41,620.18
475_2,CONF_1461,314.88,159.96,167.70,206.61,202.71,606.47
475_2,CONF_1590,311.95,161.30,168.17,207.17,203.60,609.27
475_2,CONF_1647,315.06,161.64,168.54,206.15,202.43,609.69
475_2,CONF_1718,285.67,161.60,164.88,207.07,205.07,611.64
475_2,CONF_2070,333.16,166.83,166.13,205.45,205.12,609.95
475_2,CONF_2104,320.76,165.29,170.51,205.17,202.53,610.27
475_2,CONF_2268,338.38,159.74,165.48,202.77,204.81,609.31
475_2,CONF_2340,322.88,163.00,170.84,199.41,204.18,613.22
475_2,CONF_2343,316.50,162.80,168.70,206.75,202.00,606.64
475_2,CONF_2391,318.66,169.39,160.84,200.99,205.71,606.25
475_2,CONF_2538,315.64,161.87,167.96,206.30,202.50,609.66
475_2,CONF_2554,322.39,165.82,164.30,200.54,205.26,603.33
475_2,CONF_2741,316.51,163.00,168.97,207.25,202.34,607.53
475_2,CONF_2798,286.45,161.13,165.07,207.31,205.61,611.45
475_2,CONF_2845,293.07,166.43,169.70,205.35,204.98,610.51
475_2,CONF_2993,312.03,161.01,168.17,206.87,203.29,608.61
475_2,CONF_3043,291.80,166.77,161.38,203.63,205.28,611.77
475_2,CONF_3218,322.17,165.26,171.68,206.07,201.51,611.50
475_2,CONF_3220,314.70,164.12,167.23,207.54,202.92,611.42
475_2,CONF_3249,312.93,161.17,169.30,206.41,202.92,608.24
475_2,CONF_3444,334.45,164.91,165.18,204.24,205.94,610.47
475_2,CONF_3474,300.48,171.79,161.48,205.58,204.86,614.03
475_2,CONF_3660,300.57,172.25,161.60,206.00,204.64,614.50
475_2,CONF_3736,324.93,173.13,166.25,201.22,204.36,608.72
475_2,CONF_3831,318.81,169.25,160.99,201.57,205.64,605.99
475_2,CONF_3844,302.95,167.67,164.29,203.77,204.44,614.32
475_2,CONF_3971,291.68,161.52,169.84,204.43,204.96,615.47
S-BIPHOMP_2,CONF_0000,245.53,192.95,201.86,204.21,208.82,606.08
S-BIPHOMP_2,CONF_0001,245.50,210.41,201.71,202.08,193.66,604.92
S-BIPHOMP_2,CONF_0002,245.52,192.95,201.68,204.22,208.84,606.01
S-BIPHOMP_2,CONF_0003,254.69,197.86,204.43,201.89,204.13,615.50
S-BIPHOMP_2,CONF_0004,254.53,197.78,204.15,201.67,204.21,615.48
S-BIPHOMP_2,CONF_0005,244.01,210.80,203.41,202.14,191.96,605.48
S-BIPHOMP_2,CONF_0006,245.62,208.68,204.08,201.92,193.28,605.99
S-BIPHOMP_2,CONF_0007,254.63,203.95,201.55,204.52,197.87,615.23
S-BIPHOMP_2,CONF_0008,243.93,210.69,203.64,201.90,191.79,605.22
S-BIPHOMP_2,CONF_0009,255.02,197.93,204.81,201.81,203.90,615.75
S-BIPHOMP_2,CONF_0010,245.38,210.20,201.30,202.36,193.65,604.85
719_1,CONF_0000,179.44,200.20,202.18,266.05,276.54,588.56
719_1,CONF_0001,225.61,203.46,197.80,228.34,212.91,593.96
719_1,CONF_0002,193.27,201.55,201.42,255.99,264.77,598.02
719_1,CONF_0003,203.60,202.67,202.77,267.35,227.49,597.44
719_1,CONF_0004,314.00,196.96,197.89,265.74,265.84,574.73
719_1,CONF_0005,205.48,204.66,202.23,202.65,229.09,597.44
719_1,CONF_0006,205.44,205.08,202.35,202.81,228.97,597.57
719_1,CONF_0007,161.09,206.49,207.75,203.83,218.21,615.33
719_1,CONF_0008,169.49,208.40,206.44,181.79,236.03,615.68
719_1,CONF_0009,161.28,208.03,206.24,217.93,204.11,615.35
719_1,CONF_0010,220.47,201.43,202.78,265.78,276.21,603.48
719_1,CONF_0011,245.44,204.27,200.55,257.01,279.67,589.30
719_1,CONF_0012,203.41,202.64,202.70,267.30,227.50,597.42
719_1,CONF_0013,203.36,202.63,202.72,267.31,227.52,597.38
719_1,CONF_0014,174.55,201.80,201.87,276.87,267.11,592.80
719_1,CONF_0015,287.95,200.49,200.99,259.40,214.88,595.26
719_1,CONF_0016,314.94,201.54,201.65,266.65,265.58,587.03
binap-s_2,CONF_0000,138.87,184.02,193.96,199.23,201.41,599.49
binap-s_2,CONF_0001,142.67,192.50,187.69,201.21,203.96,614.93
binap-s_2,CONF_0002,136.17,183.76,193.49,201.37,203.65,602.01
binap-s_2,CONF_0003,138.84,184.11,194.03,199.04,201.35,599.20
306_1_2,CONF_0000,293.19,202.36,202.71,232.56,233.75,594.30
306_1_2,CONF_0001,293.17,202.42,202.71,232.57,233.78,594.42
306_1_2,CONF_0002,280.56,200.57,202.58,226.37,229.98,590.41
306_1_2,CONF_0003,280.52,200.46,202.66,226.40,230.03,590.40
306_1_2,CONF_0004,308.98,202.01,202.34,252.49,252.33,588.89
306_1_2,CONF_0005,279.98,202.66,198.23,230.52,227.01,586.16
306_1_2,CONF_0006,280.18,202.64,198.34,230.38,227.08,586.23
306_1_2,CONF_0007,279.99,199.26,198.44,226.15,224.71,586.13
306_1_2,CONF_0008,280.64,200.55,202.27,226.41,230.32,590.58
306_1_2,CONF_0009,262.40,205.47,197.31,253.67,242.45,595.41
306_1_2,CONF_0010,262.51,204.82,197.26,253.00,242.28,596.30
306_1_2,CONF_0011,264.98,208.25,200.34,250.57,236.12,595.28
306_1_2,CONF_0012,262.88,204.90,197.44,253.06,242.44,597.48
306_1_2,CONF_0013,263.77,203.01,202.61,238.53,249.43,604.20
R-Segphos_2,CONF_0000,143.72,180.86,194.91,200.33,203.11,600.16
R-Segphos_2,CONF_0001,141.80,180.38,196.72,201.91,200.72,601.42
R-Segphos_2,CONF_0002,143.76,180.81,194.86,200.27,203.03,600.16
R-Segphos_2,CONF_0003,144.04,191.26,185.58,201.39,204.29,614.09
R-Segphos_2,CONF_0004,144.16,185.18,191.33,203.54,201.16,613.88
R-Segphos_2,CONF_0005,139.63,194.61,180.22,203.84,200.78,601.32
R-Segphos_2,CONF_0006,122.74,206.37,158.82,202.75,205.76,609.64
R-Segphos_2,CONF_0007,144.15,191.33,185.31,201.05,203.54,613.92
R-Segphos_2,CONF_0008,139.40,180.33,194.15,203.58,200.88,602.20
R-Segphos_2,CONF_0009,141.59,180.08,196.53,202.20,200.57,601.47
R-Segphos_2,CONF_0010,144.13,185.40,191.38,203.78,200.89,613.98
R-Segphos_2,CONF_0011,141.71,196.50,180.22,200.47,202.18,601.53
R-Segphos_2,CONF_0012,143.62,191.27,185.36,200.85,204.40,614.14
R-DTBM-SEGPHOS_2,CONF_0087,98.61,147.09,168.73,200.84,202.76,605.25
R-DTBM-SEGPHOS_2,CONF_0090,100.59,158.07,156.48,203.07,201.21,612.07
R-DTBM-SEGPHOS_2,CONF_0093,98.67,147.07,168.77,200.85,202.79,605.27
R-DTBM-SEGPHOS_2,CONF_0099,98.38,156.35,157.45,203.68,202.97,613.70
R-DTBM-SEGPHOS_2,CONF_0113,100.26,146.66,169.06,200.89,203.00,605.12
R-DTBM-SEGPHOS_2,CONF_0133,100.41,146.62,169.06,201.05,203.00,605.00
R-DTBM-SEGPHOS_2,CONF_0136,98.90,147.42,169.04,202.15,203.14,605.64
R-DTBM-SEGPHOS_2,CONF_0137,98.38,146.79,168.90,201.82,203.22,605.30
R-DTBM-SEGPHOS_2,CONF_0179,105.95,156.46,164.12,198.71,203.76,606.00
R-DTBM-SEGPHOS_2,CONF_0180,101.89,147.55,169.48,201.67,204.30,605.74
R-DTBM-SEGPHOS_2,CONF_0201,98.38,156.33,157.47,203.68,202.96,613.79
R-DTBM-SEGPHOS_2,CONF_0210,101.58,146.83,169.69,202.22,203.97,605.18
R-DTBM-SEGPHOS_2,CONF_0268,108.18,159.44,161.93,198.52,205.27,604.14
R-DTBM-SEGPHOS_2,CONF_0318,101.30,166.26,147.11,204.13,202.81,609.44
R-DTBM-SEGPHOS_2,CONF_0347,105.15,154.17,166.19,199.95,203.72,603.21
R-DTBM-SEGPHOS_2,CONF_0403,108.82,160.85,160.54,199.59,204.28,604.37
R-DTBM-SEGPHOS_2,CONF_0417,107.20,153.60,167.33,200.15,204.64,603.65
R-DTBM-SEGPHOS_2,CONF_0472,101.50,166.16,146.91,204.29,202.58,608.55
R-DTBM-SEGPHOS_2,CONF_0508,109.09,160.39,161.27,199.72,204.08,604.70
R-DTBM-SEGPHOS_2,CONF_0534,103.91,162.31,153.43,204.33,202.68,612.65
R-DTBM-SEGPHOS_2,CONF_0551,100.41,164.45,148.72,203.75,204.35,609.49
R-DTBM-SEGPHOS_2,CONF_0575,101.76,166.30,147.62,204.22,202.65,609.09
R-DTBM-SEGPHOS_2,CONF_0656,109.25,159.80,161.55,198.78,204.62,605.04
R-DTBM-SEGPHOS_2,CONF_0722,103.72,154.42,160.77,201.41,203.83,618.93
R-DTBM-SEGPHOS_2,CONF_0787,101.52,152.91,161.02,200.73,203.18,618.86
R-DTBM-SEGPHOS_2,CONF_0801,108.62,160.91,160.96,199.93,203.98,603.63
R-DTBM-SEGPHOS_2,CONF_0808,105.58,159.20,160.64,199.49,203.44,598.63
R-DTBM-SEGPHOS_2,CONF_0828,101.01,163.90,149.22,203.49,203.93,609.57
R-DTBM-SEGPHOS_2,CONF_0884,105.52,159.31,160.66,199.47,203.41,598.68
R-DTBM-SEGPHOS_2,CONF_0930,108.77,160.73,160.52,199.65,204.25,604.14
R-DTBM-SEGPHOS_2,CONF_0938,101.28,152.92,161.04,201.40,204.16,619.57
R-DTBM-SEGPHOS_2,CONF_0939,102.66,154.25,161.10,201.11,203.97,618.73
R-DTBM-SEGPHOS_2,CONF_0976,101.14,152.77,160.65,201.08,203.54,619.99
R-DTBM-SEGPHOS_2,CONF_1027,103.00,154.34,160.50,201.24,204.16,618.71
R-DTBM-SEGPHOS_2,CONF_1044,104.83,154.71,159.37,202.03,203.85,617.23
R-DTBM-SEGPHOS_2,CONF_1081,110.23,161.01,160.37,200.80,204.95,605.87
R-DTBM-SEGPHOS_2,CONF_1094,104.59,153.78,160.12,202.09,203.60,617.88
R-DTBM-SEGPHOS_2,CONF_1099,100.23,163.55,148.70,203.71,204.47,610.72
R-DTBM-SEGPHOS_2,CONF_1280,104.18,154.14,160.01,202.61,204.39,618.20
R-DTBM-SEGPHOS_2,CONF_1564,108.62,160.74,160.61,200.09,204.15,604.21
S-C3-TUNEPHOS_2,CONF_0000,249.72,199.12,201.14,203.60,211.82,603.05
S-C3-TUNEPHOS_2,CONF_0001,244.42,192.25,201.19,203.69,209.39,603.08
S-C3-TUNEPHOS_2,CONF_0002,244.38,192.18,201.17,203.47,209.41,603.12
S-C3-TUNEPHOS_2,CONF_0003,249.72,199.07,201.09,203.47,211.80,603.09
S-C3-TUNEPHOS_2,CONF_0004,244.21,210.08,202.36,201.08,192.34,604.17
S-C3-TUNEPHOS_2,CONF_0005,249.87,212.43,200.92,201.80,199.54,603.32
S-C3-TUNEPHOS_2,CONF_0006,253.14,198.12,204.03,201.27,206.00,614.39
S-C3-TUNEPHOS_2,CONF_0007,254.67,202.99,204.25,201.67,204.17,614.75
