mol1,mol2,rmsd
0.0,1.0,0.40516891219172313
0.0,2.0,1.0723554348752482
0.0,3.0,0.47299764881172
0.0,4.0,0.8015566718319794
0.0,5.0,0.8190826805870849
0.0,6.0,0.6284107154278915
0.0,7.0,0.8150662079113257
0.0,8.0,0.4583630849442989
0.0,9.0,0.7865924554785941
0.0,10.0,1.0766201734141898
0.0,11.0,0.4343991436227291
0.0,12.0,0.47977192648014333
0.0,13.0,0.6320222972392991
0.0,14.0,0.6317199469434148
0.0,15.0,0.836286210797865
0.0,16.0,0.6331784682023307
0.0,17.0,1.2140927096448386
0.0,18.0,1.1674589226515866
0.0,19.0,0.8428651507809378
0.0,20.0,1.0443796906363907
0.0,21.0,0.6325176436576776
0.0,22.0,0.9240213449956989
0.0,23.0,0.4734512268416122
0.0,24.0,0.8886440673601872
0.0,25.0,1.0936610822715258
0.0,26.0,1.166982553258947
0.0,27.0,1.0738059164219682
0.0,28.0,1.166443718635959
0.0,29.0,1.0400807429432093
0.0,30.0,1.0740638977985217
1.0,2.0,1.0655025925197341
1.0,3.0,0.3032403151269095
1.0,4.0,0.8077991225225016
1.0,5.0,0.6533343941878972
1.0,6.0,0.40026349727593546
1.0,7.0,0.8444534233492739
1.0,8.0,0.2744669125945176
1.0,9.0,0.648099568709102
1.0,10.0,1.130279525233531
1.0,11.0,0.2923399661378739
1.0,12.0,0.5770990138244481
1.0,13.0,0.5009195179080796
1.0,14.0,0.5012914151605178
1.0,15.0,0.7079072899015497
1.0,16.0,0.5028910295541966
1.0,17.0,1.122291197282146
1.0,18.0,1.1074212343936216
1.0,19.0,0.6956236605447808
1.0,20.0,0.9764880567138174
1.0,21.0,0.5022351668024018
1.0,22.0,0.7940927362266608
1.0,23.0,0.30344183314471423
1.0,24.0,0.792391487865274
1.0,25.0,1.012795812089293
1.0,26.0,1.1068007978730838
1.0,27.0,0.9921645976338191
1.0,28.0,1.1063388660637887
1.0,29.0,0.9862711909372146
1.0,30.0,1.0065195157137123
2.0,3.0,1.1368714315194985
2.0,4.0,0.7815378117741117
2.0,5.0,0.8519304462247045
2.0,6.0,1.0919873466897005
2.0,7.0,0.6576350954008803
2.0,8.0,1.1208523976965883
2.0,9.0,0.6573106688266847
2.0,10.0,0.9457734902831235
2.0,11.0,1.1351965632934222
2.0,12.0,1.0783461341684093
2.0,13.0,1.093051279182032
2.0,14.0,1.0933024904081552
2.0,15.0,1.4806019078256936
2.0,16.0,1.0856358445791638
2.0,17.0,0.6410783102586914
2.0,18.0,0.7536928042779069
2.0,19.0,1.474201861031282
2.0,20.0,0.9585776637723331
2.0,21.0,1.0902527000927367
2.0,22.0,1.2850790320556582
2.0,23.0,1.1368413905708765
2.0,24.0,0.7936896875635445
2.0,25.0,0.9021914417935506
2.0,26.0,0.7536890733707017
2.0,27.0,0.7751863248407941
2.0,28.0,0.7540864756839498
2.0,29.0,0.7062773540130852
2.0,30.0,0.9995245676196365
3.0,4.0,0.9272794503731792
3.0,5.0,0.7729376364600596
3.0,6.0,0.5772796482291861
3.0,7.0,0.9215986657902523
3.0,8.0,0.37502723999865933
3.0,9.0,0.7461845458322505
3.0,10.0,1.1291376411115206
3.0,11.0,0.3865462516185062
3.0,12.0,0.6898567853350579
3.0,13.0,0.6466242487346652
3.0,14.0,0.6468815336935204
3.0,15.0,0.7847073170275621
3.0,16.0,0.649036677717706
3.0,17.0,1.12464165384025
3.0,18.0,1.1048910581607232
3.0,19.0,0.7845218630826287
3.0,20.0,0.9527073495340325
3.0,21.0,0.6479764035574433
3.0,22.0,0.8604416036665151
3.0,23.0,0.001353642545490418
3.0,24.0,0.900985918429452
3.0,25.0,1.0938122553339524
3.0,26.0,1.1042445128580862
3.0,27.0,1.1200768877978038
3.0,28.0,1.1037501313356237
3.0,29.0,1.0616117109037404
3.0,30.0,0.9847055406765002
4.0,5.0,0.3764075572500395
4.0,6.0,0.6180316121387838
4.0,7.0,0.3547640812749588
4.0,8.0,0.9020957383119192
4.0,9.0,0.49362447953112026
4.0,10.0,0.7535422104891288
4.0,11.0,0.8895094527212919
