mol1,mol2,rmsd
0.0,1.0,1.3349655653971146
0.0,2.0,1.3354987903696116
0.0,3.0,100.0
0.0,4.0,2.142039163206541
0.0,5.0,2.5449415312228028
0.0,6.0,2.1398080622789752
0.0,7.0,0.010253849460152122
0.0,8.0,0.01399540779694599
0.0,9.0,0.012975620166377494
0.0,10.0,2.3378273598051535
0.0,11.0,2.338609219201831
1.0,2.0,0.0033328968831736676
1.0,3.0,100.0
1.0,4.0,2.5514566714907594
1.0,5.0,2.3295866519020643
1.0,6.0,2.5509251622513274
1.0,7.0,1.329688334253494
1.0,8.0,1.3286542320840107
1.0,9.0,1.3285292124400954
1.0,10.0,2.8029529764892716
1.0,11.0,2.8017725660102553
2.0,3.0,100.0
2.0,4.0,2.550924149317489
2.0,5.0,2.3285793322171235
2.0,6.0,2.5503951534490406
2.0,7.0,1.3302211755092874
2.0,8.0,1.3291896387593092
2.0,9.0,1.329064202793963
2.0,10.0,2.8037928584831673
2.0,11.0,2.8026137183480118
3.0,4.0,100.0
3.0,5.0,100.0
3.0,6.0,100.0
3.0,7.0,100.0
3.0,8.0,100.0
3.0,9.0,100.0
3.0,10.0,100.0
3.0,11.0,100.0
4.0,5.0,1.3269106019602062
4.0,6.0,0.006407105450020814
4.0,7.0,2.1455825978686165
4.0,8.0,2.146612532191229
4.0,9.0,2.1477995247664774
4.0,10.0,0.5618672825015865
4.0,11.0,0.5638058113657632
5.0,6.0,1.3303291196136557
5.0,7.0,2.5460200220112066
5.0,8.0,2.5470755584762563
5.0,9.0,2.5470539422084193
5.0,10.0,1.6168411750557883
5.0,11.0,1.61875937556213
6.0,7.0,2.1433719709008328
6.0,8.0,2.1444030396913303
6.0,9.0,2.145595365358559
6.0,10.0,0.5584938409695464
6.0,11.0,0.5604186871652311
7.0,8.0,0.005583434518501179
7.0,9.0,0.005767786775766729
7.0,10.0,2.342598625604624
7.0,11.0,2.343378251172216
8.0,9.0,0.0096876513584025
8.0,10.0,2.343838969314592
8.0,11.0,2.3446096388253785
9.0,10.0,2.3448889858086273
9.0,11.0,2.345675617497182
10.0,11.0,0.00742149155216869
