mol1,mol2,rmsd
0.0,1.0,100.0
0.0,2.0,100.0
0.0,3.0,0.26234146613594483
0.0,4.0,0.2626042678853902
0.0,5.0,3.174397351593895
0.0,6.0,1.6479073370295183
0.0,7.0,1.3286768346420295
0.0,8.0,1.7604489181376666
0.0,9.0,1.758655569858622
0.0,10.0,1.9023557591415083
0.0,11.0,100.0
0.0,12.0,1.8508080004280314
0.0,13.0,0.26198418953520775
1.0,2.0,0.3157694015678093
1.0,3.0,100.0
1.0,4.0,100.0
1.0,5.0,100.0
1.0,6.0,100.0
1.0,7.0,100.0
1.0,8.0,100.0
1.0,9.0,100.0
1.0,10.0,100.0
1.0,11.0,0.3159686719512653
1.0,12.0,100.0
1.0,13.0,100.0
2.0,3.0,100.0
2.0,4.0,100.0
2.0,5.0,100.0
2.0,6.0,100.0
2.0,7.0,100.0
2.0,8.0,100.0
2.0,9.0,100.0
2.0,10.0,100.0
2.0,11.0,0.004200226424885022
2.0,12.0,100.0
2.0,13.0,100.0
3.0,4.0,0.006026342339796267
3.0,5.0,3.201655849824663
3.0,6.0,1.655976420710642
3.0,7.0,1.3467613067403226
3.0,8.0,1.7698962603383352
3.0,9.0,1.7681245003519874
3.0,10.0,1.9091965354625176
3.0,11.0,100.0
3.0,12.0,1.8283752297427551
3.0,13.0,0.004427682087966949
4.0,5.0,3.201021977220702
4.0,6.0,1.6527093369088608
4.0,7.0,1.3434881409133135
4.0,8.0,1.7666810496058025
4.0,9.0,1.7649053943665367
4.0,10.0,1.9059202679668037
4.0,11.0,100.0
4.0,12.0,1.8266930058236905
4.0,13.0,0.0026885381004783386
5.0,6.0,2.8773786809915616
5.0,7.0,2.9225730639092675
5.0,8.0,2.933749554510137
5.0,9.0,2.933548161263359
5.0,10.0,2.9573984403747136
5.0,11.0,100.0
5.0,12.0,2.8368530126467313
5.0,13.0,3.2012991651446936
6.0,7.0,0.6480376074994333
6.0,8.0,0.4992538308154197
6.0,9.0,0.4976316208767105
6.0,10.0,0.7508473482017836
6.0,11.0,100.0
6.0,12.0,1.183918696753837
6.0,13.0,1.6536701772045341
7.0,8.0,0.6478573604072551
7.0,9.0,0.6462756394093235
7.0,10.0,1.2377881376681894
7.0,11.0,100.0
7.0,12.0,1.0416146003580293
7.0,13.0,1.344530561759327
8.0,9.0,0.0033587376515249678
8.0,10.0,0.7503191003935885
8.0,11.0,100.0
8.0,12.0,1.1613088600473398
8.0,13.0,1.7675945238514037
9.0,10.0,0.7503800214127045
9.0,11.0,100.0
9.0,12.0,1.161833660635228
9.0,13.0,1.76582051370408
10.0,11.0,100.0
10.0,12.0,1.632301749306757
10.0,13.0,1.9068322091973666
11.0,12.0,100.0
11.0,13.0,100.0
12.0,13.0,1.8274512479952396
