mol1,mol2,rmsd
0.0,1.0,0.6935078247005838
0.0,2.0,0.474702060373537
0.0,3.0,0.4705780847960158
0.0,4.0,1.9938079721827326
0.0,5.0,0.2884441684469443
0.0,6.0,2.1359751791853254
0.0,7.0,100.0
0.0,8.0,0.6112365641500228
0.0,9.0,0.7497345680111642
0.0,10.0,0.8912293074293925
0.0,11.0,0.9196707965706602
0.0,12.0,2.2438889205387635
0.0,13.0,100.0
0.0,14.0,0.7487198008028317
0.0,15.0,2.2440207871071602
0.0,16.0,2.127830606313458
0.0,17.0,0.8928996155313182
0.0,18.0,2.2705406253057974
0.0,19.0,2.1317418011017106
0.0,20.0,100.0
0.0,21.0,0.9195620211801432
0.0,22.0,2.131056370244032
0.0,23.0,100.0
0.0,24.0,0.9196310074137872
0.0,25.0,2.133246763100434
0.0,26.0,0.4826310327136262
0.0,27.0,2.129950047822742
0.0,28.0,2.1288178154044783
0.0,29.0,2.129854313436725
0.0,30.0,0.7494823287953092
0.0,31.0,2.128469954588244
0.0,32.0,2.1263863045496807
0.0,33.0,2.133772873513725
0.0,34.0,0.7537053098354957
0.0,35.0,2.1285255950371584
0.0,36.0,100.0
0.0,37.0,100.0
1.0,2.0,0.9034836251052565
1.0,3.0,0.8996741661772528
1.0,4.0,2.1460548242078725
1.0,5.0,0.54079620731757
1.0,6.0,2.364733701284601
1.0,7.0,100.0
1.0,8.0,0.9391842186821733
1.0,9.0,1.0288871125718637
1.0,10.0,1.0567790407698932
1.0,11.0,0.833854452631769
1.0,12.0,2.46069881549605
1.0,13.0,100.0
1.0,14.0,1.0281165023445906
1.0,15.0,2.461004065398393
1.0,16.0,2.3569725038137666
1.0,17.0,1.0591354715999113
1.0,18.0,2.4526182540756256
1.0,19.0,2.36081607941871
1.0,20.0,100.0
1.0,21.0,0.8315972581967316
1.0,22.0,2.360139864406012
1.0,23.0,100.0
1.0,24.0,0.8315348461997631
1.0,25.0,2.361569428991563
1.0,26.0,0.9167708852626785
1.0,27.0,2.359137368580263
1.0,28.0,2.3580329348572713
1.0,29.0,2.3592152502165935
1.0,30.0,1.028871094230976
1.0,31.0,2.3581460290652085
1.0,32.0,2.355875718189715
1.0,33.0,2.3633987288784617
1.0,34.0,1.0351146409957994
1.0,35.0,2.357651103672206
1.0,36.0,100.0
1.0,37.0,100.0
2.0,3.0,0.009623513400273152
2.0,4.0,1.8458901647063313
2.0,5.0,0.6223564585358985
2.0,6.0,1.9568451933468574
2.0,7.0,100.0
2.0,8.0,0.3187759742043052
2.0,9.0,0.656486646112949
2.0,10.0,0.9208512408797648
2.0,11.0,0.8293526025880473
2.0,12.0,2.0130743292027122
2.0,13.0,100.0
2.0,14.0,0.6567595865748459
2.0,15.0,2.013087805507447
2.0,16.0,1.949626249027056
2.0,17.0,0.9210095762743046
2.0,18.0,2.096476964247499
2.0,19.0,1.9531829746122775
2.0,20.0,100.0
2.0,21.0,0.8311957456043612
2.0,22.0,1.9526625451019453
2.0,23.0,100.0
2.0,24.0,0.8313370384221
2.0,25.0,1.9543760916897412
2.0,26.0,0.026617695773664175
2.0,27.0,1.9515056453558526
2.0,28.0,1.9506060205272029
2.0,29.0,1.951549052160783
2.0,30.0,0.6561104339286281
2.0,31.0,1.95034662877969
2.0,32.0,1.9483368475998089
2.0,33.0,1.9550169817408958
2.0,34.0,0.6567763441885885
2.0,35.0,1.9503078339574802
2.0,36.0,100.0
2.0,37.0,100.0
3.0,4.0,1.8483948572292173
3.0,5.0,0.6183537371387328
3.0,6.0,1.9617652350708674
3.0,7.0,100.0
3.0,8.0,0.31836791708753476
3.0,9.0,0.65793179480361
3.0,10.0,0.9198659176565327
3.0,11.0,0.8304162669621531
3.0,12.0,2.0179816715079784
3.0,13.0,100.0
3.0,14.0,0.6581502089707909
3.0,15.0,2.017996526581762
3.0,16.0,1.9545631275035225
3.0,17.0,0.920086534431774
3.0,18.0,2.1003112053704798
3.0,19.0,1.9581210301918581
3.0,20.0,100.0
3.0,21.0,0.8322268461185579
3.0,22.0,1.9576077516441475
3.0,23.0,100.0
3.0,24.0,0.8323750666240985
3.0,25.0,1.959318543151692
3.0,26.0,0.027867989904453883
3.0,27.0,1.9564434790803487
3.0,28.0,1.955553162877141
3.0,29.0,1.9564861272952272
3.0,30.0,0.6575613681254807
3.0,31.0,1.9552886896679877
3.0,32.0,1.953274844616528
3.0,33.0,1.959948997821285
3.0,34.0,0.6584203069198862
3.0,35.0,1.9552446724569454
3.0,36.0,100.0
3.0,37.0,100.0
4.0,5.0,2.0425092546903794
4.0,6.0,0.7858048008581299
4.0,7.0,100.0
4.0,8.0,1.8409477774127168
4.0,9.0,2.0139197108087323
4.0,10.0,2.185273754060683
4.0,11.0,2.0060558006002625
4.0,12.0,0.8648693775487752
4.0,13.0,100.0
4.0,14.0,2.014525475282756
4.0,15.0,0.8645658465645061
4.0,16.0,0.788127227973726
4.0,17.0,2.1854347200451922
4.0,18.0,0.7102415800510353
4.0,19.0,0.7895167850190747
4.0,20.0,100.0
4.0,21.0,2.009058001068199
4.0,22.0,0.7878862166028882
4.0,23.0,100.0
4.0,24.0,2.0095615570565135
4.0,25.0,0.7869036499763449
4.0,26.0,1.8379326753120755
4.0,27.0,0.7882543838336322
4.0,28.0,0.7888448586583167
4.0,29.0,0.789098805411342
4.0,30.0,2.0138262148338058
4.0,31.0,0.789617891140623
4.0,32.0,0.7886253228489136
4.0,33.0,0.7894913151288316
4.0,34.0,2.0131467186228176
4.0,35.0,0.78780215806814
4.0,36.0,100.0
4.0,37.0,100.0
5.0,6.0,2.2059676513163065
5.0,7.0,100.0
5.0,8.0,0.6471900309214761
5.0,9.0,0.828024367050412
5.0,10.0,0.8332131144858328
5.0,11.0,0.8633850184157914
5.0,12.0,2.304564607485452
5.0,13.0,100.0
5.0,14.0,0.8272177590757378
5.0,15.0,2.3049495425880093
5.0,16.0,2.1981603705772255
5.0,17.0,0.8352380158088595
5.0,18.0,2.3142816075721764
5.0,19.0,2.202302282599847
5.0,20.0,100.0
5.0,21.0,0.8621406700396932
5.0,22.0,2.2015228120893418
5.0,23.0,100.0
5.0,24.0,0.861965967115317
5.0,25.0,2.203369420024337
5.0,26.0,0.6339961930367114
5.0,27.0,2.2001762185455114
5.0,28.0,2.199534488993531
5.0,29.0,2.2005279090721728
5.0,30.0,0.8278637651849108
5.0,31.0,2.199258066915417
5.0,32.0,2.197147098811139
5.0,33.0,2.204018400785002
5.0,34.0,0.8326110806902266
5.0,35.0,2.1990301022848313
5.0,36.0,100.0
5.0,37.0,100.0
6.0,7.0,100.0
6.0,8.0,1.9685526315831625
6.0,9.0,1.9935306846449499
6.0,10.0,2.1938433184400115
6.0,11.0,2.0251562735920245
6.0,12.0,0.3750950126922316
6.0,13.0,100.0
6.0,14.0,1.9951634771617128
6.0,15.0,0.37565211763287754
6.0,16.0,0.02066752525610034
6.0,17.0,2.192283206957296
6.0,18.0,0.5352358023914591
6.0,19.0,0.014952925940441683
6.0,20.0,100.0
6.0,21.0,2.028474365400172
6.0,22.0,0.020145529889139077
6.0,23.0,100.0
6.0,24.0,2.028977988709255
6.0,25.0,0.01583150083017254
6.0,26.0,1.9501416096477697
6.0,27.0,0.016533954669124242
6.0,28.0,0.02341769040960806
6.0,29.0,0.018346337400635834
6.0,30.0,1.9934578377857186
6.0,31.0,0.02308891970187135
6.0,32.0,0.02434383582038041
6.0,33.0,0.009493938673908115
6.0,34.0,1.988679067757479
6.0,35.0,0.020105966427478725
